,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","Папа, сдохни (2018)","Джокер (2019)
Joker","Остров проклятых
Shutter Island, 2009","Джокер (2019)
Joker"
1,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind",Гидравлика (2010),"Аватар
Avatar, 2009","Джокер (2019)
Joker","Остров проклятых
Shutter Island, 2009"
2,"Титаник (1997)
Titanic","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Железный человек (2008)
Iron Man","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
3,"Игры разума
A Beautiful Mind, 2001","Страсти Христовы
The Passion of the Christ, 2004","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind",Чужие (1986),"Папа, сдохни (2018)"
4,"Джокер (2019)
Joker","Фанатик (2001)
The Believer","Барби (2023)
Barbie","Зодиак (2007)
Zodiac","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
5,"Форрест Гамп
Forrest Gump, 1994","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Форрест Гамп
Forrest Gump, 1994","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Зодиак (2007)
Zodiac"
6,"Неогранённые алмазы (2019)
Uncut Gems","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Титаник (1997)
Titanic","Паразиты
Gisaengchung, 2019",Гидравлика (2010)
7,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Пункт назначения. Аквапарк (2019)
Aquaslash","Криминальное чтиво
Pulp Fiction, 1994","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
8,День радио (2008),"Паразиты
Gisaengchung, 2019","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008",Гидравлика (2010),"Паразиты
Gisaengchung, 2019"
9,"Психо (1960)
Psycho","Анора (2024)
Anora","Паразиты
Gisaengchung, 2019","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
