,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Джокер (2019)
Joker","Форрест Гамп
Forrest Gump, 1994","Сотни бобров (2024)
Hundreds of Beavers"
1,"Леон
Léon, 1994","Мстители: Финал (2019)
Avengers: Endgame","Головоломка (2015)
Inside Out","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Форрест Гамп
Forrest Gump, 1994"
2,"Интерстеллар
Interstellar, 2014",О чём ещё говорят мужчины (2011),"Интерстеллар
Interstellar, 2014","Король говорит!
The King's Speech, 2010","Король говорит!
The King's Speech, 2010"
3,"Титаник (1997)
Titanic","Дом большой мамочки (2000)
Big Momma's House","Леон
Léon, 1994","Трасса 60
Interstate 60, 2001","Головоломка (2015)
Inside Out"
4,"Вне закона (1986)
Down by Law","Головоломка (2015)
Inside Out","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Головоломка (2015)
Inside Out","Билли Мэдисон
Billy Madison, 1995"
5,"Криминальное чтиво
Pulp Fiction, 1994","Трасса 60
Interstate 60, 2001","Мстители: Финал (2019)
Avengers: Endgame","Зомби по имени Шон (2004)
Shaun of the Dead","Трасса 60
Interstate 60, 2001"
6,Чужие (1986),"Полночь с дьяволом (2023)
Late Night with the Devil","Криминальное чтиво
Pulp Fiction, 1994","Сотни бобров (2024)
Hundreds of Beavers","Большой куш
Snatch, 2000"
7,"Большой куш
Snatch, 2000","Мартовские иды (2011)
The Ides of March","Титаник (1997)
Titanic","Большой куш
Snatch, 2000","Вне закона (1986)
Down by Law"
8,"Трасса 60
Interstate 60, 2001","Тайное окно (2004)
Secret Window","Трасса 60
Interstate 60, 2001","Мертвец (1995)
Dead Man","Зомби по имени Шон (2004)
Shaun of the Dead"
9,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Конклав (2024)
Conclave","Пятый элемент
The Fifth Element, 1997","Вне закона (1986)
Down by Law","Мертвец (1995)
Dead Man"
