,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джокер (2019)
Joker","Пятый элемент
The Fifth Element, 1997","Джанго освобожденный
Django Unchained, 2012"
1,"Джокер (2019)
Joker","Дом большой мамочки (2000)
Big Momma's House","Бойцовский клуб
Fight Club, 1999","Зона интересов (2023)
The Zone of Interest","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
2,"Пятый элемент
The Fifth Element, 1997","Мементо (2000)
Memento","Титаник (1997)
Titanic","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Поймай меня, если сможешь
Catch Me If You Can, 2002"
3,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","500 дней лета (2009)
(500) Days of Summer","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Страсти Христовы
The Passion of the Christ, 2004","Зона интересов (2023)
The Zone of Interest"
4,"Бойцовский клуб
Fight Club, 1999","Платформа 2 (2024)
El hoyo 2","Мстители: Финал (2019)
Avengers: Endgame","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Страсти Христовы
The Passion of the Christ, 2004"
5,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Такие разные близнецы (2011)
Jack and Jill","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Звездный десант (1997)
Starship Troopers","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
6,"Большой Лебовски (1998)
The Big Lebowski","Врожденный порок (2014)
Inherent Vice","Пятый элемент
The Fifth Element, 1997","Бойцовский клуб
Fight Club, 1999","Звездный десант (1997)
Starship Troopers"
7,"Джанго освобожденный
Django Unchained, 2012","Чужой
Alien, 1979","Поймай меня, если сможешь
Catch Me If You Can, 2002","Оленья кожа (2019)
Le daim","Оленья кожа (2019)
Le daim"
8,Чужие (1986),"Титаник (1997)
Titanic","Большой Лебовски (1998)
The Big Lebowski","Чужой: Ромул (2024)
Alien: Romulus","Чужой: Ромул (2024)
Alien: Romulus"
9,"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джанго освобожденный
Django Unchained, 2012","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Поймай меня, если сможешь
Catch Me If You Can, 2002","Бойцовский клуб
Fight Club, 1999"
