,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","Врожденный порок (2014)
Inherent Vice","Один дома
Home Alone, 1990","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Мементо (2000)
Memento"
1,"Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Джокер (2019)
Joker","Семь
Se7en, 1995",День радио (2008)
2,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Как поймать монстра (2014)
Lost River","Мстители: Финал (2019)
Avengers: Endgame","Страсти Христовы
The Passion of the Christ, 2004","Один дома
Home Alone, 1990"
3,Чужие (1986),"Король говорит!
The King's Speech, 2010","Титаник (1997)
Titanic",День радио (2008),"Останься (2005)
Stay"
4,"Терминал (2004)
The Terminal","Головоломка 2 (2024)
Inside Out 2","Аватар
Avatar, 2009","Зеленая миля
The Green Mile, 1999","Вне закона (1986)
Down by Law"
5,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Терминал (2004)
The Terminal","Молчание ягнят
The Silence of the Lambs, 1990","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Семь
Se7en, 1995"
6,"Зеленая миля
The Green Mile, 1999","Яйцеголовые
Coneheads, 1993","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Вне закона (1986)
Down by Law","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
7,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Круэлла (2021)
Cruella","Мементо (2000)
Memento","Мартовские иды (2011)
The Ides of March"
8,"Джокер (2019)
Joker","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Барби (2023)
Barbie","Один дома
Home Alone, 1990","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
9,"Мстители: Финал (2019)
Avengers: Endgame","Конклав (2024)
Conclave","Семь
Se7en, 1995","Мартовские иды (2011)
The Ides of March","Зеленая миля
The Green Mile, 1999"
