,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Криминальное чтиво
Pulp Fiction, 1994",День радио (2008),"Джокер (2019)
Joker","Криминальное чтиво
Pulp Fiction, 1994","Драйв (2011)
Drive","Чужой: Ромул (2024)
Alien: Romulus","Звездный десант (1997)
Starship Troopers"
1,"Титаник (1997)
Titanic","Криминальное чтиво
Pulp Fiction, 1994","Бойцовский клуб
Fight Club, 1999","Красота по-американски (1999)
American Beauty","Мартовские иды (2011)
The Ides of March","Звездный десант (1997)
Starship Troopers","Страсти Христовы
The Passion of the Christ, 2004"
2,"Джокер (2019)
Joker","Врожденный порок (2014)
Inherent Vice","Криминальное чтиво
Pulp Fiction, 1994","Врожденный порок (2014)
Inherent Vice","Анора (2024)
Anora","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Бойцовский клуб
Fight Club, 1999"
3,"Драйв (2011)
Drive","Отступники
The Departed, 2006","Титаник (1997)
Titanic","Мартовские иды (2011)
The Ides of March","Семь психопатов (2012)
Seven Psychopaths","Кофе и сигареты (2003)
Coffee and Cigarettes","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
4,"Шоу Трумана
The Truman Show, 1998","Только бог простит (2012)
Only God Forgives","Мстители: Финал (2019)
Avengers: Endgame","Одержимость
Whiplash, 2013","Чужой: Ромул (2024)
Alien: Romulus","Семь психопатов (2012)
Seven Psychopaths","Мартовские иды (2011)
The Ides of March"
5,"Игры разума
A Beautiful Mind, 2001",Чужие (1986),"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Драйв (2011)
Drive","Красота по-американски (1999)
American Beauty","Мартовские иды (2011)
The Ides of March","Чужой: Ромул (2024)
Alien: Romulus"
6,"Неогранённые алмазы (2019)
Uncut Gems","Драйв (2011)
Drive","Леон
Léon, 1994","Семь психопатов (2012)
Seven Psychopaths","Одержимость
Whiplash, 2013","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Семь психопатов (2012)
Seven Psychopaths"
7,"Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Драйв (2011)
Drive","Такие разные близнецы (2011)
Jack and Jill","Такие разные близнецы (2011)
Jack and Jill","Красота по-американски (1999)
American Beauty","Кофе и сигареты (2003)
Coffee and Cigarettes"
8,"Бойцовский клуб
Fight Club, 1999","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Зеленая миля
The Green Mile, 1999","Отступники
The Departed, 2006","Отступники
The Departed, 2006","Пришельцы в Америке (2001)
Just Visiting","Пришельцы в Америке (2001)
Just Visiting"
9,"Одержимость
Whiplash, 2013","Леон
Léon, 1994","Шоу Трумана
The Truman Show, 1998","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
