,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Между нами музыка (2015)
Song to Song","Джокер (2019)
Joker","Сотни бобров (2024)
Hundreds of Beavers","Билли Мэдисон
Billy Madison, 1995","Неогранённые алмазы (2019)
Uncut Gems","Люди в чёрном
Men in Black, 1997"
1,"Американская история X (1998)
American History X","Чужой: Ромул (2024)
Alien: Romulus","Назад в будущее
Back to the Future, 1985","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Король говорит!
The King's Speech, 2010","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Билли Мэдисон
Billy Madison, 1995"
2,"Зомби по имени Шон (2004)
Shaun of the Dead","Невезучие (2003)
Tais-toi!","Шоу Трумана
The Truman Show, 1998","
Мемуары Улитки (2024)
Memoir of a Snail","Джокер (2019)
Joker","Зомби по имени Шон (2004)
Shaun of the Dead","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
3,"Вне закона (1986)
Down by Law","Терминал (2004)
The Terminal","Круэлла (2021)
Cruella","Джокер (2019)
Joker","Зомби по имени Шон (2004)
Shaun of the Dead","Джокер (2019)
Joker","Король говорит!
The King's Speech, 2010"
4,"Титаник (1997)
Titanic","Смертельное оружие (1987)
Lethal Weapon","Люди в чёрном
Men in Black, 1997","Король говорит!
The King's Speech, 2010","
Мемуары Улитки (2024)
Memoir of a Snail","Король говорит!
The King's Speech, 2010","Зомби по имени Шон (2004)
Shaun of the Dead"
5,"Люди в чёрном
Men in Black, 1997",Чужие (1986),"Титаник (1997)
Titanic","21 грамм (2003)
21 Grams","Зона интересов (2023)
The Zone of Interest","Зона интересов (2023)
The Zone of Interest","
Мемуары Улитки (2024)
Memoir of a Snail"
6,"Шоу Трумана
The Truman Show, 1998","Вне закона (1986)
Down by Law","Мстители: Финал (2019)
Avengers: Endgame","Назад в будущее
Back to the Future, 1985","Поймай меня, если сможешь
Catch Me If You Can, 2002","21 грамм (2003)
21 Grams","Зона интересов (2023)
The Zone of Interest"
7,"Джокер (2019)
Joker","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Поймай меня, если сможешь
Catch Me If You Can, 2002","Зона интересов (2023)
The Zone of Interest","Назад в будущее
Back to the Future, 1985","Назад в будущее
Back to the Future, 1985","Назад в будущее
Back to the Future, 1985"
8,Чужие (1986),"Титаник (1997)
Titanic","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Поймай меня, если сможешь
Catch Me If You Can, 2002","21 грамм (2003)
21 Grams","Поймай меня, если сможешь
Catch Me If You Can, 2002","21 грамм (2003)
21 Grams"
9,"Круэлла (2021)
Cruella","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Достать ножи
Knives Out, 2019","Американская история X (1998)
American History X","Американская история X (1998)
American History X","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
