,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Яйцеголовые
Coneheads, 1993","Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Врожденный порок (2014)
Inherent Vice","Страсти Христовы
The Passion of the Christ, 2004"
1,"Титаник (1997)
Titanic","Дюна: Часть вторая (2024)
Dune: Part Two","Титаник (1997)
Titanic","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",День радио (2008),"Джон Уик 4 (2023)
John Wick: Chapter 4","Врожденный порок (2014)
Inherent Vice"
2,"Звездный десант (1997)
Starship Troopers","Как поймать монстра (2014)
Lost River","Паразиты
Gisaengchung, 2019","Невезучие (2003)
Tais-toi!","Чужой: Ромул (2024)
Alien: Romulus","Форрест Гамп
Forrest Gump, 1994","Чужой: Ромул (2024)
Alien: Romulus"
3,"Достучаться до небес
Knockin' on Heaven's Door, 1997",Мастер и Маргарита (2023),"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Только бог простит (2012)
Only God Forgives","Невезучие (2003)
Tais-toi!","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
4,"Паразиты
Gisaengchung, 2019","Форрест Гамп
Forrest Gump, 1994","Побег из Шоушенка
The Shawshank Redemption, 1994","Форрест Гамп
Forrest Gump, 1994","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Форрест Гамп
Forrest Gump, 1994"
5,Чужие (1986),"Дневник памяти (2004)
The Notebook","Форрест Гамп
Forrest Gump, 1994","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Форрест Гамп
Forrest Gump, 1994","Достучаться до небес
Knockin' on Heaven's Door, 1997","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
6,"Побег из Шоушенка
The Shawshank Redemption, 1994","Титаник (1997)
Titanic","Мстители: Финал (2019)
Avengers: Endgame","Достучаться до небес
Knockin' on Heaven's Door, 1997","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River","Достучаться до небес
Knockin' on Heaven's Door, 1997"
7,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Фарго (1995)
Fargo","Достучаться до небес
Knockin' on Heaven's Door, 1997","Чужой: Ромул (2024)
Alien: Romulus","Как поймать монстра (2014)
Lost River"
8,"Зомби по имени Шон (2004)
Shaun of the Dead",Майор Гром: Игра (2024),"Пятый элемент
The Fifth Element, 1997","Чужой: Ромул (2024)
Alien: Romulus","Фарго (1995)
Fargo","Фарго (1995)
Fargo","Фарго (1995)
Fargo"
9,"Телохранитель киллера (2017)
The Hitman's Bodyguard","Невезучие (2003)
Tais-toi!","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019"
