,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Врожденный порок (2014)
Inherent Vice","Джокер (2019)
Joker","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Большой куш
Snatch, 2000","Телохранитель киллера (2017)
The Hitman's Bodyguard","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Чокнутый (2006)
Delirious","Поймай меня, если сможешь
Catch Me If You Can, 2002","Фанатик (2001)
The Believer","Головоломка 2 (2024)
Inside Out 2"
2,"Люди в чёрном
Men in Black, 1997","Как поймать монстра (2014)
Lost River","Люди в чёрном
Men in Black, 1997","Большой куш
Snatch, 2000","Зомби по имени Шон (2004)
Shaun of the Dead","Джокер (2019)
Joker","Фанатик (2001)
The Believer"
3,"Титаник (1997)
Titanic","Зомби по имени Шон (2004)
Shaun of the Dead","Железный человек (2008)
Iron Man","Паразиты
Gisaengchung, 2019","Джокер (2019)
Joker","Чокнутый (2006)
Delirious","Джокер (2019)
Joker"
4,"Железный человек (2008)
Iron Man","Большой куш
Snatch, 2000","Паразиты
Gisaengchung, 2019","Джокер (2019)
Joker","Чокнутый (2006)
Delirious","Большой куш
Snatch, 2000","Чокнутый (2006)
Delirious"
5,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Апокалипсис сегодня (1979)
Apocalypse Now","Титаник (1997)
Titanic","Поймай меня, если сможешь
Catch Me If You Can, 2002","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Большой куш
Snatch, 2000"
6,"Зомби по имени Шон (2004)
Shaun of the Dead","Паразиты
Gisaengchung, 2019","Поймай меня, если сможешь
Catch Me If You Can, 2002","Американская история X (1998)
American History X","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two","Поймай меня, если сможешь
Catch Me If You Can, 2002"
7,"Большой куш
Snatch, 2000","Чужой
Alien, 1979","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now","Дюна: Часть вторая (2024)
Dune: Part Two"
8,"Не говори никому (2021)
Gæsterne","Дом большой мамочки (2000)
Big Momma's House","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Апокалипсис сегодня (1979)
Apocalypse Now","Американская история X (1998)
American History X","Неогранённые алмазы (2019)
Uncut Gems","Апокалипсис сегодня (1979)
Apocalypse Now"
9,"Паразиты
Gisaengchung, 2019","Дневник памяти (2004)
The Notebook","Мстители: Финал (2019)
Avengers: Endgame","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems","Поймай меня, если сможешь
Catch Me If You Can, 2002","Неогранённые алмазы (2019)
Uncut Gems"
