,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Один дома
Home Alone, 1990","Оленья кожа (2019)
Le daim","Один дома
Home Alone, 1990","Остров проклятых
Shutter Island, 2009","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Молчание ягнят
The Silence of the Lambs, 1990","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Аватар
Avatar, 2009","Неогранённые алмазы (2019)
Uncut Gems","Джокер (2019)
Joker","Аватар
Avatar, 2009","Остров проклятых
Shutter Island, 2009","Пэрл (2022)
Pearl","Не говори никому (2024)
Speak No Evil"
2,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Титаник (1997)
Titanic","Здесь курят (2005)
Thank You for Smoking","Шоу Трумана
The Truman Show, 1998","Смертельное оружие (1987)
Lethal Weapon","Аватар
Avatar, 2009"
3,"Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Аватар
Avatar, 2009","Пэрл (2022)
Pearl","Молчание ягнят
The Silence of the Lambs, 1990",Гидравлика (2010),"Молчание ягнят
The Silence of the Lambs, 1990"
4,"500 дней лета (2009)
(500) Days of Summer","Зодиак (2007)
Zodiac","Шоу Трумана
The Truman Show, 1998",Гидравлика (2010),Гидравлика (2010),"Остров проклятых
Shutter Island, 2009",Гидравлика (2010)
5,"Остров проклятых
Shutter Island, 2009",Курьер (1986),"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004","Оленья кожа (2019)
Le daim","Страсти Христовы
The Passion of the Christ, 2004"
6,"Шоу Трумана
The Truman Show, 1998","Врожденный порок (2014)
Inherent Vice","Молчание ягнят
The Silence of the Lambs, 1990","Оленья кожа (2019)
Le daim","Оленья кожа (2019)
Le daim","Зодиак (2007)
Zodiac","Оленья кожа (2019)
Le daim"
7,"Неогранённые алмазы (2019)
Uncut Gems","Виды доброты (2024)
Kinds of Kindness","Остров проклятых
Shutter Island, 2009","Зодиак (2007)
Zodiac","Пэрл (2022)
Pearl","Не говори никому (2024)
Speak No Evil","Пэрл (2022)
Pearl"
8,"Пэрл (2022)
Pearl",Майор Гром: Игра (2024),"Чужой
Alien, 1979","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
9,"Смертельное оружие (1987)
Lethal Weapon","Чужой
Alien, 1979","Мстители: Финал (2019)
Avengers: Endgame","Залечь на дно в Брюгге (2007)
In Bruges","Залечь на дно в Брюгге (2007)
In Bruges","Здесь курят (2005)
Thank You for Smoking","Залечь на дно в Брюгге (2007)
In Bruges"
10,,,,,,"Залечь на дно в Брюгге (2007)
In Bruges",
