,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Не говори никому (2021)
Gæsterne","Джокер (2019)
Joker","Достать ножи
Knives Out, 2019","Неогранённые алмазы (2019)
Uncut Gems","Чужой: Ромул (2024)
Alien: Romulus","Страсти Христовы
The Passion of the Christ, 2004"
1,"Титаник (1997)
Titanic","Гладиатор 2 (2024)
Gladiator II","Интерстеллар
Interstellar, 2014",Чужие (1986),"Чужой: Ромул (2024)
Alien: Romulus","Неогранённые алмазы (2019)
Uncut Gems","Оленья кожа (2019)
Le daim"
2,"Хранители (2009)
Watchmen","Неогранённые алмазы (2019)
Uncut Gems","Титаник (1997)
Titanic","Только бог простит (2012)
Only God Forgives","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Достать ножи
Knives Out, 2019","Достать ножи
Knives Out, 2019"
3,"Интерстеллар
Interstellar, 2014","Мачо и ботан (2012)
21 Jump Street","Мстители: Финал (2019)
Avengers: Endgame","Славные парни (2016)
The Nice Guys","Чужой
Alien, 1979","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999"
4,"Драйв (2011)
Drive","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Криминальное чтиво
Pulp Fiction, 1994","Как поймать монстра (2014)
Lost River","Достать ножи
Knives Out, 2019","Апокалипсис сегодня (1979)
Apocalypse Now","Неогранённые алмазы (2019)
Uncut Gems"
5,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Между нами музыка (2015)
Song to Song","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Здесь курят (2005)
Thank You for Smoking","Страсти Христовы
The Passion of the Christ, 2004","Чужой: Ромул (2024)
Alien: Romulus"
6,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Здесь курят (2005)
Thank You for Smoking","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Форрест Гамп
Forrest Gump, 1994","Апокалипсис сегодня (1979)
Apocalypse Now","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Как поймать монстра (2014)
Lost River"
7,Чужие (1986),"Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Драйв (2011)
Drive","Здесь курят (2005)
Thank You for Smoking","Славные парни (2016)
The Nice Guys","Как поймать монстра (2014)
Lost River","Апокалипсис сегодня (1979)
Apocalypse Now"
8,"Субстанция (2024)
The Substance","Титаник (1997)
Titanic","Поймай меня, если сможешь
Catch Me If You Can, 2002","Зона интересов (2023)
The Zone of Interest","Зеленая миля
The Green Mile, 1999","Хранители (2009)
Watchmen","Хранители (2009)
Watchmen"
9,"Криминальное чтиво
Pulp Fiction, 1994","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Оппенгеймер (2023)
Oppenheimer","Апокалипсис сегодня (1979)
Apocalypse Now","Зона интересов (2023)
The Zone of Interest","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
