,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Назад в будущее
Back to the Future, 1985","Неогранённые алмазы (2019)
Uncut Gems","Назад в будущее
Back to the Future, 1985","Нечто (1982)
The Thing","Сотни бобров (2024)
Hundreds of Beavers","Чужой: Ромул (2024)
Alien: Romulus.1","Секреты Лос-Анджелеса (1997)
L.A. Confidential"
1,"Титаник (1997)
Titanic","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Бойцовский клуб
Fight Club, 1999","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Нечто (1982)
The Thing","Копы в глубоком запасе (2010)
The Other Guys","Не говори никому (2024)
Speak No Evil"
2,"Славные парни (2016)
The Nice Guys","Назад в будущее
Back to the Future, 1985","Побег из Шоушенка
The Shawshank Redemption, 1994","Чужой
Alien, 1979","Не говори никому (2024)
Speak No Evil","Нечто (1982)
The Thing","Сотни бобров (2024)
Hundreds of Beavers"
3,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Бедные-несчастные (2023)
Poor Things","Джокер (2019)
Joker","Звездный десант (1997)
Starship Troopers","Пэрл (2022)
Pearl","Не говори никому (2024)
Speak No Evil","Большой куш
Snatch, 2000"
4,"Джокер (2019)
Joker","Залечь на дно в Брюгге (2007)
In Bruges","Титаник (1997)
Titanic","Не говори никому (2024)
Speak No Evil","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Сотни бобров (2024)
Hundreds of Beavers","Побег из Шоушенка
The Shawshank Redemption, 1994"
5,"Железный человек (2008)
Iron Man","500 дней лета (2009)
(500) Days of Summer","Шоу Трумана
The Truman Show, 1998","Сотни бобров (2024)
Hundreds of Beavers","Большой куш
Snatch, 2000","Большой куш
Snatch, 2000","Копы в глубоком запасе (2010)
The Other Guys"
6,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Железный человек (2008)
Iron Man","Большой куш
Snatch, 2000","Побег из Шоушенка
The Shawshank Redemption, 1994","Чужой
Alien, 1979","Нечто (1982)
The Thing"
7,Чужие (1986),"Как поймать монстра (2014)
Lost River","Круэлла (2021)
Cruella","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
8,"Вне закона (1986)
Down by Law","Красота по-американски (1999)
American Beauty","Головоломка (2015)
Inside Out","Побег из Шоушенка
The Shawshank Redemption, 1994","Чужой
Alien, 1979","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Чужой
Alien, 1979"
9,"Побег из Шоушенка
The Shawshank Redemption, 1994","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Мстители: Финал (2019)
Avengers: Endgame","Зона интересов (2023)
The Zone of Interest","Зона интересов (2023)
The Zone of Interest","Зеленая миля
The Green Mile, 1999","Однажды в Ирландии (2011)
The Guard"
10,,,,,,"Однажды в Ирландии (2011)
The Guard",
