,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Зеленая миля
The Green Mile, 1999","Джокер (2019)
Joker","Бешеные псы (1991)
Reservoir Dogs","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Бешеные псы (1991)
Reservoir Dogs","Апокалипсис сегодня (1979)
Apocalypse Now"
1,"Люди в чёрном
Men in Black, 1997","Бешеные псы (1991)
Reservoir Dogs","Люди в чёрном
Men in Black, 1997","Неогранённые алмазы (2019)
Uncut Gems","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Зомби по имени Шон (2004)
Shaun of the Dead","Зомби по имени Шон (2004)
Shaun of the Dead"
2,"Зеленая миля
The Green Mile, 1999","Телохранитель киллера (2017)
The Hitman's Bodyguard","Зеленая миля
The Green Mile, 1999","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Неогранённые алмазы (2019)
Uncut Gems","Залечь на дно в Брюгге (2007)
In Bruges","Залечь на дно в Брюгге (2007)
In Bruges"
3,"Титаник (1997)
Titanic","Чужой
Alien, 1979","Поймай меня, если сможешь
Catch Me If You Can, 2002","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Бешеные псы (1991)
Reservoir Dogs","Дюна: Часть вторая (2024)
Dune: Part Two","Бешеные псы (1991)
Reservoir Dogs"
4,"Зомби по имени Шон (2004)
Shaun of the Dead","Конклав (2024)
Conclave","Мстители: Финал (2019)
Avengers: Endgame","Дюна: Часть вторая (2024)
Dune: Part Two","Полу-Нельсон (2006)
Half Nelson","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Полу-Нельсон (2006)
Half Nelson"
5,"Копы в глубоком запасе (2010)
The Other Guys",День радио (2008),"Титаник (1997)
Titanic","Зеленая миля
The Green Mile, 1999","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
6,"Неогранённые алмазы (2019)
Uncut Gems","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Драйв (2011)
Drive","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Зеленая миля
The Green Mile, 1999","Полу-Нельсон (2006)
Half Nelson","Дюна: Часть вторая (2024)
Dune: Part Two"
7,"Одержимость
Whiplash, 2013",О чём ещё говорят мужчины (2011),"Семь
Se7en, 1995","Конклав (2024)
Conclave","Дюна: Часть вторая (2024)
Dune: Part Two","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999"
8,"Мстители: Финал (2019)
Avengers: Endgame",Мастер и Маргарита (2023),"Чужой
Alien, 1979","Полу-Нельсон (2006)
Half Nelson","Конклав (2024)
Conclave","Зона интересов (2023)
The Zone of Interest","Поймай меня, если сможешь
Catch Me If You Can, 2002"
9,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Зона интересов (2023)
The Zone of Interest"
