,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Между нами музыка (2015)
Song to Song","Джокер (2019)
Joker","Форрест Гамп
Forrest Gump, 1994","Люди в чёрном
Men in Black, 1997","Образцовый самец (2001)
Zoolander","Мементо (2000)
Memento"
1,"Люди в чёрном
Men in Black, 1997","Джокер (2019)
Joker","Люди в чёрном
Men in Black, 1997","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Мементо (2000)
Memento","Мементо (2000)
Memento","Гладиатор 2 (2024)
Gladiator II"
2,"Шоу Трумана
The Truman Show, 1998","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Шоу Трумана
The Truman Show, 1998","Невезучие (2003)
Tais-toi!","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Гладиатор 2 (2024)
Gladiator II","Страсти Христовы
The Passion of the Christ, 2004"
3,"Зомби по имени Шон (2004)
Shaun of the Dead","Джон Уик 4 (2023)
John Wick: Chapter 4","Мстители: Финал (2019)
Avengers: Endgame","Круто сваренные (1992)
Lat sau san taam","Неогранённые алмазы (2019)
Uncut Gems","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
4,Чужие (1986),Курьер (1986),"Чужой
Alien, 1979","Люди в чёрном
Men in Black, 1997","Круто сваренные (1992)
Lat sau san taam","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Люди в чёрном
Men in Black, 1997"
5,"Вне закона (1986)
Down by Law","На посту!
Au poste!, 2018","Форрест Гамп
Forrest Gump, 1994","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Невезучие (2003)
Tais-toi!","Неогранённые алмазы (2019)
Uncut Gems","Круто сваренные (1992)
Lat sau san taam"
6,"Одержимость
Whiplash, 2013","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Титаник (1997)
Titanic","Зомби по имени Шон (2004)
Shaun of the Dead","Перелом (2007)
Fracture","Зомби по имени Шон (2004)
Shaun of the Dead","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
7,"Титаник (1997)
Titanic","Люди в чёрном
Men in Black, 1997","Одержимость
Whiplash, 2013",Чужие (1986),Чужие (1986),"Круто сваренные (1992)
Lat sau san taam",Чужие (1986)
8,"Мстители: Финал (2019)
Avengers: Endgame","Дом большой мамочки (2000)
Big Momma's House","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Перелом (2007)
Fracture","Одержимость
Whiplash, 2013",Чужие (1986),"Зомби по имени Шон (2004)
Shaun of the Dead"
9,Курьер (1986),"Сотни бобров (2024)
Hundreds of Beavers","Оппенгеймер (2023)
Oppenheimer","Одержимость
Whiplash, 2013","Зомби по имени Шон (2004)
Shaun of the Dead","Форрест Гамп
Forrest Gump, 1994","Одержимость
Whiplash, 2013"
10,,,,,,"Одержимость
Whiplash, 2013",
