,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Люди в чёрном
Men in Black, 1997","Вонка (2023)
Wonka","Джокер (2019)
Joker","Дюна: Часть вторая (2024)
Dune: Part Two","Леон
Léon, 1994","Сотни бобров (2024)
Hundreds of Beavers","Круто сваренные (1992)
Lat sau san taam"
1,"Интерстеллар
Interstellar, 2014","Дюна: Часть вторая (2024)
Dune: Part Two","Интерстеллар
Interstellar, 2014","
Мемуары Улитки (2024)
Memoir of a Snail","Звездный десант (1997)
Starship Troopers","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Омерзительная восьмерка
The Hateful Eight, 2015","Врожденный порок (2014)
Inherent Vice","Люди в чёрном
Men in Black, 1997","Паразиты
Gisaengchung, 2019","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","
Мемуары Улитки (2024)
Memoir of a Snail","Омерзительная восьмерка
The Hateful Eight, 2015"
3,"Паразиты
Gisaengchung, 2019","Неогранённые алмазы (2019)
Uncut Gems","Мстители: Финал (2019)
Avengers: Endgame","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs","Паразиты
Gisaengchung, 2019","Зеленая миля
The Green Mile, 1999"
4,"Леон
Léon, 1994",Наша Russia: Яйца судьбы (2010),"Леон
Léon, 1994","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Неогранённые алмазы (2019)
Uncut Gems","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
5,"Бесславные ублюдки
Inglourious Basterds, 2009","Клуб «Завтрак» (1985)
The Breakfast Club","Паразиты
Gisaengchung, 2019","21 грамм (2003)
21 Grams","Билли Мэдисон
Billy Madison, 1995","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Билли Мэдисон
Billy Madison, 1995"
6,"Джокер (2019)
Joker","Полночь с дьяволом (2023)
Late Night with the Devil","Зеленая миля
The Green Mile, 1999","Омерзительная восьмерка
The Hateful Eight, 2015","Зеленая миля
The Green Mile, 1999","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
7,Чужие (1986),"Интерстеллар
Interstellar, 2014","Титаник (1997)
Titanic","Билли Мэдисон
Billy Madison, 1995","
Мемуары Улитки (2024)
Memoir of a Snail","Омерзительная восьмерка
The Hateful Eight, 2015","21 грамм (2003)
21 Grams"
8,"Мачо и ботан (2012)
21 Jump Street",X (2022),Наша Russia: Яйца судьбы (2010),"Неогранённые алмазы (2019)
Uncut Gems","21 грамм (2003)
21 Grams","Билли Мэдисон
Billy Madison, 1995","Паразиты
Gisaengchung, 2019"
9,"Зеленая миля
The Green Mile, 1999","Сотни бобров (2024)
Hundreds of Beavers","Крик (1996)
Scream","Зеленая миля
The Green Mile, 1999","Паразиты
Gisaengchung, 2019","21 грамм (2003)
21 Grams","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
10,,,,,,"Зеленая миля
The Green Mile, 1999",
