,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Один дома
Home Alone, 1990","Анора (2024)
Anora","Джокер (2019)
Joker","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Терминал (2004)
The Terminal","Безумный Макс 2: Воин дороги (1981)
Mad Max 2",Майор Гром: Игра (2024)
1,"Джокер (2019)
Joker","Дюна: Часть вторая (2024)
Dune: Part Two","Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Анора (2024)
Anora","Терминатор (1984)
The Terminator","Анора (2024)
Anora"
2,"Титаник (1997)
Titanic","Врожденный порок (2014)
Inherent Vice","Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Одержимость
Whiplash, 2013","Телохранитель киллера (2017)
The Hitman's Bodyguard","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
3,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Апокалипсис сегодня (1979)
Apocalypse Now","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Фанатик (2001)
The Believer","Фанатик (2001)
The Believer","Дюна: Часть вторая (2024)
Dune: Part Two","Апокалипсис сегодня (1979)
Apocalypse Now"
4,"Мертвые не умирают (2019)
The Dead Don't Die","Форрест Гамп
Forrest Gump, 1994","Шоу Трумана
The Truman Show, 1998","Пришельцы в Америке (2001)
Just Visiting","Один дома
Home Alone, 1990","Остров проклятых
Shutter Island, 2009","Пришельцы в Америке (2001)
Just Visiting"
5,"Терминатор (1984)
The Terminator","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Остров проклятых
Shutter Island, 2009","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Телохранитель киллера (2017)
The Hitman's Bodyguard","Страсти Христовы
The Passion of the Christ, 2004","Одержимость
Whiplash, 2013"
6,"Остров проклятых
Shutter Island, 2009","Зона интересов (2023)
The Zone of Interest","Форрест Гамп
Forrest Gump, 1994","Остров проклятых
Shutter Island, 2009","Страсти Христовы
The Passion of the Christ, 2004","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Страсти Христовы
The Passion of the Christ, 2004"
7,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Достучаться до небес
Knockin' on Heaven's Door, 1997","Терминатор (1984)
The Terminator","Трасса 60
Interstate 60, 2001","Остров проклятых
Shutter Island, 2009","Фанатик (2001)
The Believer","Остров проклятых
Shutter Island, 2009"
8,"Зомби по имени Шон (2004)
Shaun of the Dead",Гидравлика (2010),"Чужой
Alien, 1979","Одержимость
Whiplash, 2013","Трасса 60
Interstate 60, 2001","Трасса 60
Interstate 60, 2001","Трасса 60
Interstate 60, 2001"
9,"Апокалипсис сегодня (1979)
Apocalypse Now","Сотни бобров (2024)
Hundreds of Beavers","Мстители: Финал (2019)
Avengers: Endgame","Гладиатор 2 (2024)
Gladiator II","Гладиатор 2 (2024)
Gladiator II","Гладиатор 2 (2024)
Gladiator II","Гладиатор 2 (2024)
Gladiator II"
10,,,,,,"Одержимость
Whiplash, 2013",
