,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Бойцовский клуб
Fight Club, 1999","Круто сваренные (1992)
Lat sau san taam","Бойцовский клуб
Fight Club, 1999","Отступники
The Departed, 2006",Чужие (1986),"Сотни бобров (2024)
Hundreds of Beavers","Гладиатор 2 (2024)
Gladiator II"
1,"Аватар
Avatar, 2009","Леон
Léon, 1994","Джокер (2019)
Joker","Сотни бобров (2024)
Hundreds of Beavers","Телохранитель киллера (2017)
The Hitman's Bodyguard","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
2,"Титаник (1997)
Titanic","Ла-Ла Ленд
La La Land, 2016","Аватар
Avatar, 2009","Фанатик (2001)
The Believer","Вонка (2023)
Wonka","Терминал (2004)
The Terminal","Телохранитель киллера (2017)
The Hitman's Bodyguard"
3,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Гладиатор 2 (2024)
Gladiator II","Мстители: Финал (2019)
Avengers: Endgame","Звездный десант (1997)
Starship Troopers","Терминал (2004)
The Terminal","Побег из Шоушенка
The Shawshank Redemption, 1994","Побег из Шоушенка
The Shawshank Redemption, 1994"
4,"Леон
Léon, 1994","Чужой: Ромул (2024)
Alien: Romulus","Побег из Шоушенка
The Shawshank Redemption, 1994","Круто сваренные (1992)
Lat sau san taam","Круто сваренные (1992)
Lat sau san taam","Круто сваренные (1992)
Lat sau san taam","Круто сваренные (1992)
Lat sau san taam"
5,Чужие (1986),"Грязь (2013)
Filth","Пятый элемент
The Fifth Element, 1997","Зомби по имени Шон (2004)
Shaun of the Dead","Побег из Шоушенка
The Shawshank Redemption, 1994","Зомби по имени Шон (2004)
Shaun of the Dead","Терминал (2004)
The Terminal"
6,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Дюна: Часть вторая (2024)
Dune: Part Two","Титаник (1997)
Titanic","Побег из Шоушенка
The Shawshank Redemption, 1994","Зомби по имени Шон (2004)
Shaun of the Dead",Чужие (1986),"Зомби по имени Шон (2004)
Shaun of the Dead"
7,"Побег из Шоушенка
The Shawshank Redemption, 1994","Клик: С пультом по жизни
Click, 2006","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Американская история X (1998)
American History X","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
8,"Ла-Ла Ленд
La La Land, 2016","Телохранитель киллера (2017)
The Hitman's Bodyguard","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Как поймать монстра (2014)
Lost River","Американская история X (1998)
American History X","Как поймать монстра (2014)
Lost River","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015"
9,"Джокер (2019)
Joker","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Леон
Léon, 1994","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Как поймать монстра (2014)
Lost River","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Как поймать монстра (2014)
Lost River"
