,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Титаник (1997)
Titanic",День радио (2003),"Джокер (2019)
Joker","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Чужой: Ромул (2024)
Alien: Romulus","Чужой: Ромул (2024)
Alien: Romulus","
Мемуары Улитки (2024)
Memoir of a Snail"
1,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004","Чужой
Alien, 1979"
2,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Максин XXX (2024)
MaXXXine","Люди в чёрном
Men in Black, 1997","Достучаться до небес
Knockin' on Heaven's Door, 1997","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Достучаться до небес
Knockin' on Heaven's Door, 1997","Страсти Христовы
The Passion of the Christ, 2004"
3,"Люди в чёрном
Men in Black, 1997","Гладиатор 2 (2024)
Gladiator II","Зеленая миля
The Green Mile, 1999","Здесь курят (2005)
Thank You for Smoking","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Здесь курят (2005)
Thank You for Smoking","Чужой: Ромул (2024)
Alien: Romulus"
4,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Оппенгеймер (2023)
Oppenheimer","Мстители: Финал (2019)
Avengers: Endgame","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
5,"Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Крик (1996)
Scream","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Достучаться до небес
Knockin' on Heaven's Door, 1997","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Достучаться до небес
Knockin' on Heaven's Door, 1997"
6,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Титаник (1997)
Titanic","Оппенгеймер (2023)
Oppenheimer",Чужие (1986),"Здесь курят (2005)
Thank You for Smoking",Чужие (1986),"Здесь курят (2005)
Thank You for Smoking"
7,"Неогранённые алмазы (2019)
Uncut Gems","Апокалипсис сегодня (1979)
Apocalypse Now","Достучаться до небес
Knockin' on Heaven's Door, 1997","Мартовские иды (2011)
The Ides of March","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999"
8,"Мстители: Финал (2019)
Avengers: Endgame","Здесь курят (2005)
Thank You for Smoking","Клик: С пультом по жизни
Click, 2006","Зеленая миля
The Green Mile, 1999","Мартовские иды (2011)
The Ides of March","Мартовские иды (2011)
The Ides of March","Мартовские иды (2011)
The Ides of March"
9,Чужие (1986),"Нечто (2011)
The Thing","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now"
