,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Бедные-несчастные (2023)
Poor Things","Джокер (2019)
Joker","Омерзительная восьмерка
The Hateful Eight, 2015","Гладиатор 2 (2024)
Gladiator II","Джон Уик 4 (2023)
John Wick: Chapter 4","Билли Мэдисон
Billy Madison, 1995"
1,"Шоу Трумана
The Truman Show, 1998","Омерзительная восьмерка
The Hateful Eight, 2015","1+1
Intouchables, 2011","Страсти Христовы
The Passion of the Christ, 2004","Омерзительная восьмерка
The Hateful Eight, 2015","Гладиатор 2 (2024)
Gladiator II","Звездный десант (1997)
Starship Troopers"
2,"Хранители (2009)
Watchmen","Отступники
The Departed, 2006","Титаник (1997)
Titanic","Билли Мэдисон
Billy Madison, 1995","Форрест Гамп
Forrest Gump, 1994","Общество мертвых поэтов (1989)
Dead Poets Society","Омерзительная восьмерка
The Hateful Eight, 2015"
3,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Виды доброты (2024)
Kinds of Kindness","Аватар
Avatar, 2009","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Джокер (2019)
Joker","Тайное окно (2004)
Secret Window","Гладиатор 2 (2024)
Gladiator II"
4,"Титаник (1997)
Titanic",Майор Гром: Игра (2024),"Шоу Трумана
The Truman Show, 1998","Форрест Гамп
Forrest Gump, 1994","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Омерзительная восьмерка
The Hateful Eight, 2015","Форрест Гамп
Forrest Gump, 1994"
5,Чужие (1986),"Красота по-американски (1999)
American Beauty","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Общество мертвых поэтов (1989)
Dead Poets Society","Сотни бобров (2024)
Hundreds of Beavers","Отступники
The Departed, 2006"
6,"Терминал (2004)
The Terminal","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Молчание ягнят
The Silence of the Lambs, 1990","Отступники
The Departed, 2006","Сотни бобров (2024)
Hundreds of Beavers","Отступники
The Departed, 2006","Общество мертвых поэтов (1989)
Dead Poets Society"
7,"Омерзительная восьмерка
The Hateful Eight, 2015","Клик: С пультом по жизни
Click, 2006","Форрест Гамп
Forrest Gump, 1994","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Тайное окно (2004)
Secret Window","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Сотни бобров (2024)
Hundreds of Beavers"
8,"Чокнутый (2006)
Delirious","Фанатик (2001)
The Believer","Чужой
Alien, 1979","Сотни бобров (2024)
Hundreds of Beavers","Поймай меня, если сможешь
Catch Me If You Can, 2002","Форрест Гамп
Forrest Gump, 1994","Тайное окно (2004)
Secret Window"
9,"Паразиты
Gisaengchung, 2019","Терминал (2004)
The Terminal","Мстители: Финал (2019)
Avengers: Endgame","Психо (1960)
Psycho","Психо (1960)
Psycho","Психо (1960)
Psycho","Психо (1960)
Psycho"
