,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"1+1
Intouchables, 2011","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","1+1
Intouchables, 2011","Король говорит!
The King's Speech, 2010","Здесь курят (2005)
Thank You for Smoking","Нечто (2011)
The Thing","Джон Уик 4 (2023)
John Wick: Chapter 4"
1,"Джокер (2019)
Joker","Джокер (2019)
Joker","Джокер (2019)
Joker","Здесь курят (2005)
Thank You for Smoking","Нечто (2011)
The Thing","Зомби по имени Шон (2004)
Shaun of the Dead","Нечто (2011)
The Thing"
2,Наша Russia: Яйца судьбы (2010),"500 дней лета (2009)
(500) Days of Summer","Титаник (1997)
Titanic","Зомби по имени Шон (2004)
Shaun of the Dead","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Копы в глубоком запасе (2010)
The Other Guys","Игры разума
A Beautiful Mind, 2001"
3,"Драйв (2011)
Drive","Чужой: Ромул (2024)
Alien: Romulus","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Копы в глубоком запасе (2010)
The Other Guys","Оленья кожа (2019)
Le daim","Джон Уик 4 (2023)
John Wick: Chapter 4","Дюна: Часть вторая (2024)
Dune: Part Two"
4,"Зомби по имени Шон (2004)
Shaun of the Dead","Круто сваренные (1992)
Lat sau san taam","Мстители: Финал (2019)
Avengers: Endgame","Игры разума
A Beautiful Mind, 2001","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Игры разума
A Beautiful Mind, 2001","Джанго освобожденный
Django Unchained, 2012"
5,"Титаник (1997)
Titanic","На посту!
Au poste!, 2018",Наша Russia: Яйца судьбы (2010),"Страсти Христовы
The Passion of the Christ, 2004","Копы в глубоком запасе (2010)
The Other Guys","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Копы в глубоком запасе (2010)
The Other Guys"
6,"500 дней лета (2009)
(500) Days of Summer","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Джанго освобожденный
Django Unchained, 2012","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Зомби по имени Шон (2004)
Shaun of the Dead","Дюна: Часть вторая (2024)
Dune: Part Two","Зомби по имени Шон (2004)
Shaun of the Dead"
7,"21 грамм (2003)
21 Grams","Армагеддец (2013)
The World's End","Выживут только любовники (2013)
Only Lovers Left Alive","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E."
8,"Джанго освобожденный
Django Unchained, 2012",День радио (2003),"Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
9,"Звездный десант (1997)
Starship Troopers","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Драйв (2011)
Drive","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams"
