,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker",День выборов (2009),"Джокер (2019)
Joker","Титаник (1997)
Titanic","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish",X (2022),"Выживут только любовники (2013)
Only Lovers Left Alive"
1,"Пятый элемент
The Fifth Element, 1997","Дом большой мамочки (2000)
Big Momma's House","Пятый элемент
The Fifth Element, 1997",X (2022),X (2022),"Выживут только любовники (2013)
Only Lovers Left Alive",X (2022)
2,"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems","Билли Мэдисон
Billy Madison, 1995","Билли Мэдисон
Billy Madison, 1995"
3,"Таксист (1976)
Taxi Driver
(с робертом де ниро)",Гитлер капут! (2008),"Мстители: Финал (2019)
Avengers: Endgame","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
4,"Бешеные псы (1991)
Reservoir Dogs","Криминальное чтиво
Pulp Fiction, 1994","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Зомби по имени Шон (2004)
Shaun of the Dead","Зомби по имени Шон (2004)
Shaun of the Dead","Психо (1960)
Psycho","Одержимость
Whiplash, 2013"
5,"Криминальное чтиво
Pulp Fiction, 1994","Чужой: Ромул (2024)
Alien: Romulus","Криминальное чтиво
Pulp Fiction, 1994","Психо (1960)
Psycho","Бешеные псы (1991)
Reservoir Dogs","Одержимость
Whiplash, 2013","Психо (1960)
Psycho"
6,"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Врожденный порок (2014)
Inherent Vice","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs","Психо (1960)
Psycho","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
7,"Зомби по имени Шон (2004)
Shaun of the Dead",Майор Гром: Игра (2024),"Молчание ягнят
The Silence of the Lambs, 1990","Криминальное чтиво
Pulp Fiction, 1994","Король говорит!
The King's Speech, 2010","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
8,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Король говорит!
The King's Speech, 2010","Криминальное чтиво
Pulp Fiction, 1994","Король говорит!
The King's Speech, 2010","Король говорит!
The King's Speech, 2010"
9,"Мстители: Финал (2019)
Avengers: Endgame","Пятый элемент
The Fifth Element, 1997","Чужой
Alien, 1979","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River","Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994"
