,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"1+1
Intouchables, 2011","Как поймать монстра (2014)
Lost River","Джокер (2019)
Joker","Чужой
Alien, 1979","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Кофе и сигареты (2003)
Coffee and Cigarettes","Зеленая миля
The Green Mile, 1999"
1,"Леон
Léon, 1994","Ворон (2024)
The Crow","1+1
Intouchables, 2011","Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Семь психопатов (2012)
Seven Psychopaths",День радио (2008)
2,"Джокер (2019)
Joker","Только бог простит (2012)
Only God Forgives","Начало
Inception, 2010","Мементо (2000)
Memento","Кофе и сигареты (2003)
Coffee and Cigarettes","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Круто сваренные (1992)
Lat sau san taam"
3,"Неогранённые алмазы (2019)
Uncut Gems",День радио (2008),"Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Страсти Христовы
The Passion of the Christ, 2004","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
4,"Чужой
Alien, 1979","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Ла-Ла Ленд
La La Land, 2016","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Зодиак (2007)
Zodiac","Мементо (2000)
Memento","Кофе и сигареты (2003)
Coffee and Cigarettes"
5,Чужие (1986),"Ла-Ла Ленд
La La Land, 2016","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Мементо (2000)
Memento","Неогранённые алмазы (2019)
Uncut Gems","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
6,"Начало
Inception, 2010","Неогранённые алмазы (2019)
Uncut Gems","Леон
Léon, 1994","Зодиак (2007)
Zodiac","Человек на Луне (2018)
First Man","Зодиак (2007)
Zodiac","Зодиак (2007)
Zodiac"
7,"Титаник (1997)
Titanic","Фарго (1995)
Fargo","Чужой
Alien, 1979","Человек на Луне (2018)
First Man","Неогранённые алмазы (2019)
Uncut Gems","Человек на Луне (2018)
First Man","Неогранённые алмазы (2019)
Uncut Gems"
8,"Кофе и сигареты (2003)
Coffee and Cigarettes","Зеленая миля
The Green Mile, 1999","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Отступники
The Departed, 2006","Отступники
The Departed, 2006","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
9,"Зеленая миля
The Green Mile, 1999",Мастер и Маргарита (2023),"Мстители: Финал (2019)
Avengers: Endgame","Фарго (1995)
Fargo","Фарго (1995)
Fargo","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Фарго (1995)
Fargo"
10,,,,,,"Фарго (1995)
Fargo",
