,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Один дома
Home Alone, 1990","Барби (2023)
Barbie","Один дома
Home Alone, 1990","Семь
Se7en, 1995","Дюна: Часть вторая (2024)
Dune: Part Two","Мементо (2000)
Memento","Кофе и сигареты (2003)
Coffee and Cigarettes"
1,"Титаник (1997)
Titanic","Такие разные близнецы (2011)
Jack and Jill","Джокер (2019)
Joker","Нечто (1982)
The Thing","Сотни бобров (2024)
Hundreds of Beavers","Дюна: Часть вторая (2024)
Dune: Part Two","Красота по-американски (1999)
American Beauty"
2,"Нечто (1982)
The Thing","Достать ножи
Knives Out, 2019","Железный человек (2008)
Iron Man","Чужой
Alien, 1979","Телохранитель киллера (2017)
The Hitman's Bodyguard","Телохранитель киллера (2017)
The Hitman's Bodyguard","Сотни бобров (2024)
Hundreds of Beavers"
3,"Зомби по имени Шон (2004)
Shaun of the Dead","Как поймать монстра (2014)
Lost River","Бойцовский клуб
Fight Club, 1999","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Нечто (1982)
The Thing","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
4,"Поймай меня, если сможешь
Catch Me If You Can, 2002","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Титаник (1997)
Titanic","Такие разные близнецы (2011)
Jack and Jill","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Пленницы (2013)
Prisoners"
5,Чужие (1986),"Дом большой мамочки (2000)
Big Momma's House","Барби (2023)
Barbie","Зомби по имени Шон (2004)
Shaun of the Dead","Пленницы (2013)
Prisoners","Мартовские иды (2011)
The Ides of March","Телохранитель киллера (2017)
The Hitman's Bodyguard"
6,"Ла-Ла Ленд
La La Land, 2016","Семь
Se7en, 1995","Семь
Se7en, 1995","Мартовские иды (2011)
The Ides of March","Мартовские иды (2011)
The Ides of March","Нечто (1982)
The Thing","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
7,"Большой Лебовски (1998)
The Big Lebowski","Билли Мэдисон
Billy Madison, 1995","Ла-Ла Ленд
La La Land, 2016","Страсти Христовы
The Passion of the Christ, 2004","Зомби по имени Шон (2004)
Shaun of the Dead","Пленницы (2013)
Prisoners","Зомби по имени Шон (2004)
Shaun of the Dead"
8,День радио (2008),"Звездный десант (1997)
Starship Troopers","Большой Лебовски (1998)
The Big Lebowski","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Зомби по имени Шон (2004)
Shaun of the Dead","Мартовские иды (2011)
The Ides of March"
9,"Между нами музыка (2015)
Song to Song","Мементо (2000)
Memento","Шоу Трумана
The Truman Show, 1998","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
