,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Титаник (1997)
Titanic","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Джокер (2019)
Joker","Хранители (2009)
Watchmen","Семь психопатов (2012)
Seven Psychopaths","Копы в глубоком запасе (2010)
The Other Guys","Копы в глубоком запасе (2010)
The Other Guys"
1,"Паразиты
Gisaengchung, 2019","Титаник (1997)
Titanic","Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Мементо (2000)
Memento","Кофе и сигареты (2003)
Coffee and Cigarettes","Общество мертвых поэтов (1989)
Dead Poets Society"
2,"Джокер (2019)
Joker","Джокер (2019)
Joker","Паразиты
Gisaengchung, 2019","Кофе и сигареты (2003)
Coffee and Cigarettes","Страсти Христовы
The Passion of the Christ, 2004","
Мемуары Улитки (2024)
Memoir of a Snail","Кофе и сигареты (2003)
Coffee and Cigarettes"
3,"Аватар
Avatar, 2009","Типа крутые легавые (2007)
Hot Fuzz","Аватар
Avatar, 2009","Мементо (2000)
Memento","Фарго (1995)
Fargo","Мементо (2000)
Memento","Фарго (1995)
Fargo"
4,"Зомби по имени Шон (2004)
Shaun of the Dead","Мементо (2000)
Memento","Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","Неогранённые алмазы (2019)
Uncut Gems","Фарго (1995)
Fargo","Неогранённые алмазы (2019)
Uncut Gems"
5,"Хранители (2009)
Watchmen","
Бременские музыканты (2023)","Зомби по имени Шон (2004)
Shaun of the Dead","Фарго (1995)
Fargo","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
6,День радио (2008),"Зомби по имени Шон (2004)
Shaun of the Dead","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two","
Мемуары Улитки (2024)
Memoir of a Snail","Неогранённые алмазы (2019)
Uncut Gems","
Мемуары Улитки (2024)
Memoir of a Snail"
7,Чужие (1986),"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Хранители (2009)
Watchmen","
Мемуары Улитки (2024)
Memoir of a Snail","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
8,"Неогранённые алмазы (2019)
Uncut Gems","
Небриллиантовая рука (2024)","Мементо (2000)
Memento","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams"
9,"На посту!
Au poste!, 2018","Виды доброты (2024)
Kinds of Kindness","Образцовый самец (2001)
Zoolander","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019"
