,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Джокер (2019)
Joker","Здесь курят (2005)
Thank You for Smoking","Только бог простит (2012)
Only God Forgives","Вонка (2023)
Wonka","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Железный человек (2008)
Iron Man","Чужой: Ромул (2024)
Alien: Romulus","1+1
Intouchables, 2011","Пленницы (2013)
Prisoners","Неогранённые алмазы (2019)
Uncut Gems","Анора (2024)
Anora","Анора (2024)
Anora"
2,"Титаник (1997)
Titanic",Майор Гром: Игра (2024),"Железный человек (2008)
Iron Man","Джокер (2019)
Joker","Зона интересов (2023)
The Zone of Interest","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Вонка (2023)
Wonka"
3,"1+1
Intouchables, 2011","Залечь на дно в Брюгге (2007)
In Bruges","Мстители: Финал (2019)
Avengers: Endgame","Неогранённые алмазы (2019)
Uncut Gems","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking","Психо (1960)
Psycho"
4,"Головоломка (2015)
Inside Out","Чужой
Alien, 1979","Титаник (1997)
Titanic","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
5,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Полу-Нельсон (2006)
Half Nelson","Головоломка (2015)
Inside Out","Только бог простит (2012)
Only God Forgives","Пленницы (2013)
Prisoners","Звездный десант (1997)
Starship Troopers","Не говори никому (2024)
Speak No Evil"
6,"Полу-Нельсон (2006)
Half Nelson","Страсти Христовы
The Passion of the Christ, 2004","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Не говори никому (2024)
Speak No Evil","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
7,Чужие (1986),"Билли Мэдисон
Billy Madison, 1995","Круэлла (2021)
Cruella","Игры разума
A Beautiful Mind, 2001","Большой куш
Snatch, 2000","Игры разума
A Beautiful Mind, 2001","Большой куш
Snatch, 2000"
8,День радио (2008),"Мстители: Финал (2019)
Avengers: Endgame","Достать ножи
Knives Out, 2019","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015"
9,"Нечто (1982)
The Thing","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Чужой
Alien, 1979","Большой куш
Snatch, 2000","Игры разума
A Beautiful Mind, 2001","Большой куш
Snatch, 2000","Игры разума
A Beautiful Mind, 2001"
10,,,,,,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015",
