,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Ла-Ла Ленд
La La Land, 2016","Гладиатор 2 (2024)
Gladiator II","Бойцовский клуб
Fight Club, 1999","Билли Мэдисон
Billy Madison, 1995","Головоломка (2015)
Inside Out","Анора (2024)
Anora","Криминальное чтиво
Pulp Fiction, 1994"
1,"Леон
Léon, 1994","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Аватар
Avatar, 2009","Игры разума
A Beautiful Mind, 2001","Оппенгеймер (2023)
Oppenheimer","
Бременские музыканты (2023)","Человек на Луне (2018)
First Man"
2,"Криминальное чтиво
Pulp Fiction, 1994","Типа крутые легавые (2007)
Hot Fuzz","Джокер (2019)
Joker","Только бог простит (2012)
Only God Forgives","Билли Мэдисон
Billy Madison, 1995","Игры разума
A Beautiful Mind, 2001","Билли Мэдисон
Billy Madison, 1995"
3,"Люди в чёрном
Men in Black, 1997","Как поймать монстра (2014)
Lost River","Ла-Ла Ленд
La La Land, 2016","Люди в чёрном
Men in Black, 1997","Игры разума
A Beautiful Mind, 2001","Человек на Луне (2018)
First Man","Игры разума
A Beautiful Mind, 2001"
4,"Пятый элемент
The Fifth Element, 1997","Бойцовский клуб
Fight Club, 1999","Люди в чёрном
Men in Black, 1997","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004"
5,"Аватар
Avatar, 2009","Чокнутый (2006)
Delirious","Пятый элемент
The Fifth Element, 1997","Типа крутые легавые (2007)
Hot Fuzz","Люди в чёрном
Men in Black, 1997","Билли Мэдисон
Billy Madison, 1995","Люди в чёрном
Men in Black, 1997"
6,Чужие (1986),"Вонка (2023)
Wonka","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Головоломка (2015)
Inside Out","
Мемуары Улитки (2024)
Memoir of a Snail","Люди в чёрном
Men in Black, 1997","
Мемуары Улитки (2024)
Memoir of a Snail"
7,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Последний бойскаут (1991)
The Last Boy Scout","Леон
Léon, 1994","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems","
Мемуары Улитки (2024)
Memoir of a Snail","Неогранённые алмазы (2019)
Uncut Gems"
8,"Останься (2005)
Stay",Чужие (1986),"Криминальное чтиво
Pulp Fiction, 1994","
Мемуары Улитки (2024)
Memoir of a Snail","Типа крутые легавые (2007)
Hot Fuzz","Неогранённые алмазы (2019)
Uncut Gems","Типа крутые легавые (2007)
Hot Fuzz"
9,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Титаник (1997)
Titanic","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015","Типа крутые легавые (2007)
Hot Fuzz","Омерзительная восьмерка
The Hateful Eight, 2015"
10,,,,,,"Омерзительная восьмерка
The Hateful Eight, 2015",
