,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Интерстеллар
Interstellar, 2014","Копы в глубоком запасе (2010)
The Other Guys","Интерстеллар
Interstellar, 2014","Анора (2024)
Anora","Дом большой мамочки (2000)
Big Momma's House","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Хранители (2009)
Watchmen"
1,"Джокер (2019)
Joker","Пункт назначения (2000)
Final Destination","Джокер (2019)
Joker","Дом большой мамочки (2000)
Big Momma's House","Чужой: Ромул (2024)
Alien: Romulus","Анора (2024)
Anora","Билли Мэдисон
Billy Madison, 1995"
2,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Однажды в Ирландии (2011)
The Guard","Однажды в Ирландии (2011)
The Guard","Чужой: Ромул (2024)
Alien: Romulus",День радио (2008)
3,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Семь
Se7en, 1995","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Чужой: Ромул (2024)
Alien: Romulus"
4,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Достать ножи
Knives Out, 2019","Титаник (1997)
Titanic","Чужой: Ромул (2024)
Alien: Romulus","Копы в глубоком запасе (2010)
The Other Guys","Неогранённые алмазы (2019)
Uncut Gems","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
5,"Терминатор (1984)
The Terminator","Звездный десант (1997)
Starship Troopers","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Неогранённые алмазы (2019)
Uncut Gems","Анора (2024)
Anora",Майор Гром: Игра (2024),"Копы в глубоком запасе (2010)
The Other Guys"
6,"Копы в глубоком запасе (2010)
The Other Guys","Только бог простит (2012)
Only God Forgives","Мстители: Финал (2019)
Avengers: Endgame","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Копы в глубоком запасе (2010)
The Other Guys","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
7,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Неогранённые алмазы (2019)
Uncut Gems","Хранители (2009)
Watchmen","Копы в глубоком запасе (2010)
The Other Guys","Неогранённые алмазы (2019)
Uncut Gems","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Неогранённые алмазы (2019)
Uncut Gems"
8,"Хранители (2009)
Watchmen","Сотни бобров (2024)
Hundreds of Beavers","Достать ножи
Knives Out, 2019","Перелом (2007)
Fracture","Перелом (2007)
Fracture","Интерстеллар
Interstellar, 2014","Интерстеллар
Interstellar, 2014"
9,Чужие (1986),"Джон Уик 4 (2023)
John Wick: Chapter 4","Чужой
Alien, 1979","Интерстеллар
Interstellar, 2014","Интерстеллар
Interstellar, 2014","Перелом (2007)
Fracture","Перелом (2007)
Fracture"
