,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Люди в чёрном
Men in Black, 1997","Конклав (2024)
Conclave","Джокер (2019)
Joker","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998",День радио (2008),"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Анора (2024)
Anora"
1,"Титаник (1997)
Titanic","Билли Мэдисон
Billy Madison, 1995","Один дома
Home Alone, 1990","Чужой
Alien, 1979","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Зеленая миля
The Green Mile, 1999"
2,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Американская история X (1998)
American History X","Железный человек (2008)
Iron Man","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Американская история X (1998)
American History X","Зеленая миля
The Green Mile, 1999","Неогранённые алмазы (2019)
Uncut Gems"
3,"Драйв (2011)
Drive","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Титаник (1997)
Titanic","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
4,"Один дома
Home Alone, 1990","Молчание ягнят
The Silence of the Lambs, 1990","Люди в чёрном
Men in Black, 1997","Неогранённые алмазы (2019)
Uncut Gems","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Нечто (1982)
The Thing","Нечто (1982)
The Thing"
5,"Начало
Inception, 2010","Гладиатор 2 (2024)
Gladiator II","Мстители: Финал (2019)
Avengers: Endgame","Паразиты
Gisaengchung, 2019","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Пленницы (2013)
Prisoners","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
6,"Американская история X (1998)
American History X","Тайное окно (2004)
Secret Window","Драйв (2011)
Drive","Американская история X (1998)
American History X","Паразиты
Gisaengchung, 2019","Анора (2024)
Anora","Пленницы (2013)
Prisoners"
7,Чужие (1986),"Страсти Христовы
The Passion of the Christ, 2004","Начало
Inception, 2010","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz","Только бог простит (2012)
Only God Forgives","Типа крутые легавые (2007)
Hot Fuzz"
8,"Зеленая миля
The Green Mile, 1999","Такие разные близнецы (2011)
Jack and Jill","Молчание ягнят
The Silence of the Lambs, 1990","
Мемуары Улитки (2024)
Memoir of a Snail","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","
Мемуары Улитки (2024)
Memoir of a Snail","Паразиты
Gisaengchung, 2019"
9,"Мачо и ботан (2012)
21 Jump Street","Мстители: Финал (2019)
Avengers: Endgame","Барби (2023)
Barbie","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","
Мемуары Улитки (2024)
Memoir of a Snail","Типа крутые легавые (2007)
Hot Fuzz","
Мемуары Улитки (2024)
Memoir of a Snail"
10,,,,,,"Паразиты
Gisaengchung, 2019",
