,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Мертвые не умирают (2019)
The Dead Don't Die","Джокер (2019)
Joker","Форрест Гамп
Forrest Gump, 1994","Драйв (2011)
Drive","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Мертвые не умирают (2019)
The Dead Don't Die"
1,"Титаник (1997)
Titanic","Мимино
1977","Один дома
Home Alone, 1990","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Один дома
Home Alone, 1990","Форрест Гамп
Forrest Gump, 1994","Титаник (1997)
Titanic","Один дома
Home Alone, 1990","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Мертвые не умирают (2019)
The Dead Don't Die","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice"
3,"Хранители (2009)
Watchmen","Терминатор (1984)
The Terminator","Драйв (2011)
Drive","Мертвые не умирают (2019)
The Dead Don't Die","Один дома
Home Alone, 1990","Игры разума
A Beautiful Mind, 2001","Драйв (2011)
Drive"
4,"Драйв (2011)
Drive","Только бог простит (2012)
Only God Forgives","Начало
Inception, 2010","Американская история X (1998)
American History X","Американская история X (1998)
American History X","Форрест Гамп
Forrest Gump, 1994","Американская история X (1998)
American History X"
5,"Игры разума
A Beautiful Mind, 2001","Омерзительная восьмерка
The Hateful Eight, 2015","Мстители: Финал (2019)
Avengers: Endgame","Врожденный порок (2014)
Inherent Vice","Дюна: Часть вторая (2024)
Dune: Part Two","Только бог простит (2012)
Only God Forgives","Однажды в Ирландии (2011)
The Guard"
6,"Начало
Inception, 2010","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Форрест Гамп
Forrest Gump, 1994","Однажды в Ирландии (2011)
The Guard","Однажды в Ирландии (2011)
The Guard","Американская история X (1998)
American History X","Форрест Гамп
Forrest Gump, 1994"
7,"Терминатор (1984)
The Terminator","Анора (2024)
Anora","Терминатор (1984)
The Terminator","Драйв (2011)
Drive","Форрест Гамп
Forrest Gump, 1994","Однажды в Ирландии (2011)
The Guard","Только бог простит (2012)
Only God Forgives"
8,"Американская история X (1998)
American History X","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998","Только бог простит (2012)
Only God Forgives","Гладиатор 2 (2024)
Gladiator II","Гладиатор 2 (2024)
Gladiator II"
9,"Форрест Гамп
Forrest Gump, 1994","Игры разума
A Beautiful Mind, 2001","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Только бог простит (2012)
Only God Forgives","Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998","Шоу Трумана
The Truman Show, 1998"
10,,,,,,"Драйв (2011)
Drive",
