,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Джокер (2019)
Joker","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015","Страсти Христовы
The Passion of the Christ, 2004","Невезучие (2003)
Tais-toi!"
1,"Пятый элемент
The Fifth Element, 1997","Билли Мэдисон
Billy Madison, 1995","Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
2,Чужие (1986),"Дневник памяти (2004)
The Notebook","Аватар
Avatar, 2009","Общество мертвых поэтов (1989)
Dead Poets Society","
Мемуары Улитки (2024)
Memoir of a Snail","Смертельное оружие (1987)
Lethal Weapon","Игра на понижение (2015)
The Big Short"
3,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001",Чужие (1986),"1+1
Intouchables, 2011","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Пчеловод (2024)
The Beekeeper",Чужие (1986),"Общество мертвых поэтов (1989)
Dead Poets Society"
4,"Неогранённые алмазы (2019)
Uncut Gems","Омерзительная восьмерка
The Hateful Eight, 2015","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Армагеддец (2013)
The World's End","Страсти Христовы
The Passion of the Christ, 2004","
Мемуары Улитки (2024)
Memoir of a Snail","Неогранённые алмазы (2019)
Uncut Gems"
5,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003",Майор Гром: Игра (2024),"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Смертельное оружие (1987)
Lethal Weapon","Один дома
Home Alone, 1990","Игра на понижение (2015)
The Big Short","Один дома
Home Alone, 1990"
6,"Титаник (1997)
Titanic","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Мстители: Финал (2019)
Avengers: Endgame","Невезучие (2003)
Tais-toi!","Армагеддец (2013)
The World's End","Один дома
Home Alone, 1990","Армагеддец (2013)
The World's End"
7,"Криминальное чтиво
Pulp Fiction, 1994","Вонка (2023)
Wonka","Головоломка (2015)
Inside Out","Сотни бобров (2024)
Hundreds of Beavers","Сотни бобров (2024)
Hundreds of Beavers","Невезучие (2003)
Tais-toi!","Смертельное оружие (1987)
Lethal Weapon"
8,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Вне закона (1986)
Down by Law","Пятый элемент
The Fifth Element, 1997","Неогранённые алмазы (2019)
Uncut Gems","Смертельное оружие (1987)
Lethal Weapon","Армагеддец (2013)
The World's End","Форрест Гамп
Forrest Gump, 1994"
9,"Смертельное оружие (1987)
Lethal Weapon","Чужой
Alien, 1979","Титаник (1997)
Titanic","Форрест Гамп
Forrest Gump, 1994","Форрест Гамп
Forrest Gump, 1994","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River"
10,,,,,,"Форрест Гамп
Forrest Gump, 1994",
