,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker",День радио (2008),"Джокер (2019)
Joker","Зеленая миля
The Green Mile, 1999","Зеленая миля
The Green Mile, 1999","Апокалипсис сегодня (1979)
Apocalypse Now","Только бог простит (2012)
Only God Forgives"
1,"Зеленая миля
The Green Mile, 1999","Аватар
Avatar, 2009","Мстители: Финал (2019)
Avengers: Endgame","Джокер (2019)
Joker","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Зеленая миля
The Green Mile, 1999"
2,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Аватар
Avatar, 2009","Апокалипсис сегодня (1979)
Apocalypse Now","Звездный десант (1997)
Starship Troopers","Только бог простит (2012)
Only God Forgives","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
3,"Пятый элемент
The Fifth Element, 1997","Чужой: Ромул (2024)
Alien: Romulus","Титаник (1997)
Titanic","Пришельцы в Америке (2001)
Just Visiting","Неогранённые алмазы (2019)
Uncut Gems","Анора (2024)
Anora","Неогранённые алмазы (2019)
Uncut Gems"
4,"Аватар
Avatar, 2009","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Чужой
Alien, 1979","Залечь на дно в Брюгге (2007)
In Bruges","Апокалипсис сегодня (1979)
Apocalypse Now","
Мемуары Улитки (2024)
Memoir of a Snail","Апокалипсис сегодня (1979)
Apocalypse Now"
5,"Чужой
Alien, 1979","Перелом (2007)
Fracture","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Звездный десант (1997)
Starship Troopers","
Мемуары Улитки (2024)
Memoir of a Snail","Джокер (2019)
Joker","
Мемуары Улитки (2024)
Memoir of a Snail"
6,"Мстители: Финал (2019)
Avengers: Endgame","Только бог простит (2012)
Only God Forgives",Наша Russia: Яйца судьбы (2010),"Анора (2024)
Anora","Залечь на дно в Брюгге (2007)
In Bruges","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Залечь на дно в Брюгге (2007)
In Bruges"
7,"Билли Мэдисон
Billy Madison, 1995",День выборов (2009),"Поймай меня, если сможешь
Catch Me If You Can, 2002","
Мемуары Улитки (2024)
Memoir of a Snail","Анора (2024)
Anora","Залечь на дно в Брюгге (2007)
In Bruges","Анора (2024)
Anora"
8,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Телохранитель киллера (2017)
The Hitman's Bodyguard","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Психо (1960)
Psycho","Психо (1960)
Psycho","Психо (1960)
Psycho","Психо (1960)
Psycho"
9,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Папа, сдохни (2018)","Леон
Léon, 1994","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
