,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Бойцовский клуб
Fight Club, 1999","Фарго (1995)
Fargo","Джон Уик 4 (2023)
John Wick: Chapter 4","Телохранитель киллера (2017)
The Hitman's Bodyguard","Поймай меня, если сможешь
Catch Me If You Can, 2002"
1,"Назад в будущее
Back to the Future, 1985","Титаник (1997)
Titanic","Джокер (2019)
Joker","Телохранитель киллера (2017)
The Hitman's Bodyguard","Леон
Léon, 1994","Звездный десант (1997)
Starship Troopers","Шоу Трумана
The Truman Show, 1998"
2,"Люди в чёрном
Men in Black, 1997","Только бог простит (2012)
Only God Forgives","Люди в чёрном
Men in Black, 1997","Джокер (2019)
Joker","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Не говори никому (2024)
Speak No Evil","Игра на понижение (2015)
The Big Short"
3,"Титаник (1997)
Titanic","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Головоломка (2015)
Inside Out","Не говори никому (2024)
Speak No Evil","Одержимость
Whiplash, 2013","Назад в будущее
Back to the Future, 1985","Звездный десант (1997)
Starship Troopers"
4,"Бойцовский клуб
Fight Club, 1999","
Небриллиантовая рука (2024)","Титаник (1997)
Titanic","Леон
Léon, 1994","Не говори никому (2024)
Speak No Evil","Как поймать монстра (2014)
Lost River","Смертельное оружие (1987)
Lethal Weapon"
5,"Головоломка (2015)
Inside Out","Мертвец (1995)
Dead Man","Аватар
Avatar, 2009","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Назад в будущее
Back to the Future, 1985","Игра на понижение (2015)
The Big Short","Одержимость
Whiplash, 2013"
6,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Игра на понижение (2015)
The Big Short","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Одержимость
Whiplash, 2013","Фарго (1995)
Fargo","Фарго (1995)
Fargo","Не говори никому (2024)
Speak No Evil"
7,"Смертельное оружие (1987)
Lethal Weapon","Каскадёры (2024)
The Fall Guy","Леон
Léon, 1994","Смертельное оружие (1987)
Lethal Weapon","Джокер (2019)
Joker","Леон
Léon, 1994","Назад в будущее
Back to the Future, 1985"
8,"Оппенгеймер (2023)
Oppenheimer","Джокер (2019)
Joker","Мстители: Финал (2019)
Avengers: Endgame","Игра на понижение (2015)
The Big Short","Как поймать монстра (2014)
Lost River","Одержимость
Whiplash, 2013","Как поймать монстра (2014)
Lost River"
9,"Звездный десант (1997)
Starship Troopers","Оппенгеймер (2023)
Oppenheimer","Назад в будущее
Back to the Future, 1985","Отступники
The Departed, 2006","Отступники
The Departed, 2006","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
