,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Билли Мэдисон
Billy Madison, 1995","Джокер (2019)
Joker","Сотни бобров (2024)
Hundreds of Beavers","Железный человек (2008)
Iron Man"
1,"1+1
Intouchables, 2011","Титаник (1997)
Titanic","Железный человек (2008)
Iron Man","Люди в чёрном
Men in Black, 1997","Страсти Христовы
The Passion of the Christ, 2004"
2,"Джокер (2019)
Joker","Джокер (2019)
Joker","1+1
Intouchables, 2011","Большой Лебовски (1998)
The Big Lebowski","Большой Лебовски (1998)
The Big Lebowski"
3,"Зеленая миля
The Green Mile, 1999","Гладиатор 2 (2024)
Gladiator II","Люди в чёрном
Men in Black, 1997","Дюна: Часть вторая (2024)
Dune: Part Two","Звездный десант (1997)
Starship Troopers"
4,"Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Титаник (1997)
Titanic","Семь психопатов (2012)
Seven Psychopaths","Дюна: Часть вторая (2024)
Dune: Part Two"
5,"Зомби по имени Шон (2004)
Shaun of the Dead","Тайное окно (2004)
Secret Window","Зеленая миля
The Green Mile, 1999","Звездный десант (1997)
Starship Troopers","Мементо (2000)
Memento"
6,"Железный человек (2008)
Iron Man","Клуб «Завтрак» (1985)
The Breakfast Club","Мстители: Финал (2019)
Avengers: Endgame","Мементо (2000)
Memento","Семь психопатов (2012)
Seven Psychopaths"
7,"Отступники
The Departed, 2006","Такие разные близнецы (2011)
Jack and Jill","Большой Лебовски (1998)
The Big Lebowski","Не говори никому (2024)
Speak No Evil","Не говори никому (2024)
Speak No Evil"
8,"Неогранённые алмазы (2019)
Uncut Gems","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
9,Чужие (1986),"Сотни бобров (2024)
Hundreds of Beavers","Звездный десант (1997)
Starship Troopers","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
