,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Психо (1960)
Psycho","Джокер (2019)
Joker","Общество мертвых поэтов (1989)
Dead Poets Society","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
1,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Назад в будущее
Back to the Future, 1985","Семь психопатов (2012)
Seven Psychopaths","Пятый элемент
The Fifth Element, 1997"
2,"Пятый элемент
The Fifth Element, 1997","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith",Майор Гром: Игра (2024),"Полу-Нельсон (2006)
Half Nelson"
3,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Такие разные близнецы (2011)
Jack and Jill","Мстители: Финал (2019)
Avengers: Endgame","Билли Мэдисон
Billy Madison, 1995","Джанго освобожденный
Django Unchained, 2012"
4,"Назад в будущее
Back to the Future, 1985","Билли Мэдисон
Billy Madison, 1995","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","
Мемуары Улитки (2024)
Memoir of a Snail","Назад в будущее
Back to the Future, 1985"
5,"Нечто (1982)
The Thing","Чужой: Ромул (2024)
Alien: Romulus","Барби (2023)
Barbie","Назад в будущее
Back to the Future, 1985","Нечто (1982)
The Thing"
6,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Телохранитель киллера (2017)
The Hitman's Bodyguard","Пятый элемент
The Fifth Element, 1997","Звездный десант (1997)
Starship Troopers","Общество мертвых поэтов (1989)
Dead Poets Society"
7,"Выживут только любовники (2013)
Only Lovers Left Alive","Только бог простит (2012)
Only God Forgives","Драйв (2011)
Drive",Гидравлика (2010),"
Мемуары Улитки (2024)
Memoir of a Snail"
8,"Джанго освобожденный
Django Unchained, 2012","Как поймать монстра (2014)
Lost River","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Американская история X (1998)
American History X",Гидравлика (2010)
9,"Полу-Нельсон (2006)
Half Nelson","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Поймай меня, если сможешь
Catch Me If You Can, 2002","Неогранённые алмазы (2019)
Uncut Gems","Американская история X (1998)
American History X"
