,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","
Бременские музыканты (2023)","Джокер (2019)
Joker","Чужой
Alien, 1979","Дилер (1996)
Pusher"
1,"Джокер (2019)
Joker","Ворон (2024)
The Crow","Аватар
Avatar, 2009","Телохранитель киллера (2017)
The Hitman's Bodyguard","Билли Мэдисон
Billy Madison, 1995"
2,"Начало
Inception, 2010","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Начало
Inception, 2010","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Как поймать монстра (2014)
Lost River"
3,"Леон
Léon, 1994","Врожденный порок (2014)
Inherent Vice","Леон
Léon, 1994","Здесь курят (2005)
Thank You for Smoking","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
4,"Американская история X (1998)
American History X","Шоу Трумана
The Truman Show, 1998","Мстители: Финал (2019)
Avengers: Endgame","Терминал (2004)
The Terminal","Здесь курят (2005)
Thank You for Smoking"
5,Чужие (1986),"Гладиатор 2 (2024)
Gladiator II","Шоу Трумана
The Truman Show, 1998","Леон
Léon, 1994","Леон
Léon, 1994"
6,"Чужой
Alien, 1979","Платформа 2 (2024)
El hoyo 2","Поймай меня, если сможешь
Catch Me If You Can, 2002","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминал (2004)
The Terminal"
7,"Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.",О чём ещё говорят мужчины (2011),"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
8,"Неогранённые алмазы (2019)
Uncut Gems","Терминал (2004)
The Terminal","Чужой
Alien, 1979","Как поймать монстра (2014)
Lost River","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
9,"Терминатор (1984)
The Terminator","Мстители: Финал (2019)
Avengers: Endgame","Бесславные ублюдки
Inglourious Basterds, 2009","Фарго (1995)
Fargo","Фарго (1995)
Fargo"
