,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Звездный десант (1997)
Starship Troopers","Джокер (2019)
Joker","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Чужой
Alien, 1979"
1,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Залечь на дно в Брюгге (2007)
In Bruges","Мстители: Финал (2019)
Avengers: Endgame","Остров проклятых
Shutter Island, 2009","Ла-Ла Ленд
La La Land, 2016"
2,"Бешеные псы (1991)
Reservoir Dogs",Мастер и Маргарита (2023),"Титаник (1997)
Titanic","Мертвец (1995)
Dead Man","Остров проклятых
Shutter Island, 2009"
3,"Титаник (1997)
Titanic","Бешеные псы (1991)
Reservoir Dogs","Ла-Ла Ленд
La La Land, 2016","Залечь на дно в Брюгге (2007)
In Bruges","Мертвец (1995)
Dead Man"
4,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","21 грамм (2003)
21 Grams","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Игра на понижение (2015)
The Big Short","Билли Мэдисон
Billy Madison, 1995"
5,"21 грамм (2003)
21 Grams","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Остров проклятых
Shutter Island, 2009","Гладиатор 2 (2024)
Gladiator II","Игра на понижение (2015)
The Big Short"
6,"Ла-Ла Ленд
La La Land, 2016","Билли Мэдисон
Billy Madison, 1995","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Выживут только любовники (2013)
Only Lovers Left Alive","Выживут только любовники (2013)
Only Lovers Left Alive"
7,"Крик (1996)
Scream","Только бог простит (2012)
Only God Forgives","Бешеные псы (1991)
Reservoir Dogs","Звездный десант (1997)
Starship Troopers","Звездный десант (1997)
Starship Troopers"
8,"Зомби по имени Шон (2004)
Shaun of the Dead",Чужие (1986),"Чужой
Alien, 1979","Ла-Ла Ленд
La La Land, 2016","Залечь на дно в Брюгге (2007)
In Bruges"
9,О чём говорят мужчины (2010),"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Пятый элемент
The Fifth Element, 1997","21 грамм (2003)
21 Grams","21 грамм (2003)
21 Grams"
