,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джанго освобожденный
Django Unchained, 2012","Король говорит!
The King's Speech, 2010","Джокер (2019)
Joker","1+1
Intouchables, 2011","
Мемуары Улитки (2024)
Memoir of a Snail"
1,"Титаник (1997)
Titanic",Чужие (1986),"1+1
Intouchables, 2011","Страсти Христовы
The Passion of the Christ, 2004","Неогранённые алмазы (2019)
Uncut Gems"
2,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991",О чём говорят мужчины (2010),"Форрест Гамп
Forrest Gump, 1994","Круто сваренные (1992)
Lat sau san taam","Анора (2024)
Anora"
3,Чужие (1986),Мастер и Маргарита (2023),"Леон
Léon, 1994","Залечь на дно в Брюгге (2007)
In Bruges","Залечь на дно в Брюгге (2007)
In Bruges"
4,"Джокер (2019)
Joker","Здесь курят (2005)
Thank You for Smoking","Барби (2023)
Barbie","Останься (2005)
Stay","1+1
Intouchables, 2011"
5,"1+1
Intouchables, 2011","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Джокер (2019)
Joker","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
6,"Барби (2023)
Barbie","Неогранённые алмазы (2019)
Uncut Gems","Мстители: Финал (2019)
Avengers: Endgame","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
7,"Игры разума
A Beautiful Mind, 2001","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Титаник (1997)
Titanic","Анора (2024)
Anora","Останься (2005)
Stay"
8,"Звездный десант (1997)
Starship Troopers",X (2022),"Поймай меня, если сможешь
Catch Me If You Can, 2002","Джанго освобожденный
Django Unchained, 2012","Круто сваренные (1992)
Lat sau san taam"
9,"Такие разные близнецы (2011)
Jack and Jill","Врожденный порок (2014)
Inherent Vice","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Здесь курят (2005)
Thank You for Smoking","Джанго освобожденный
Django Unchained, 2012"
