,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Как поймать монстра (2014)
Lost River","Бойцовский клуб
Fight Club, 1999","Зеленая миля
The Green Mile, 1999","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Титаник (1997)
Titanic","Достучаться до небес
Knockin' on Heaven's Door, 1997","1+1
Intouchables, 2011","Ла-Ла Ленд
La La Land, 2016","Звездный десант (1997)
Starship Troopers"
2,"1+1
Intouchables, 2011","Молчание ягнят
The Silence of the Lambs, 1990","Джокер (2019)
Joker","Одержимость
Whiplash, 2013","Психо (1960)
Psycho"
3,"Ла-Ла Ленд
La La Land, 2016","Конклав (2024)
Conclave","Аватар
Avatar, 2009","Отступники
The Departed, 2006","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
4,"Аватар
Avatar, 2009",Майор Гром: Игра (2024),"Ла-Ла Ленд
La La Land, 2016","Игры разума
A Beautiful Mind, 2001","Зеленая миля
The Green Mile, 1999"
5,"Мертвые не умирают (2019)
The Dead Don't Die","На посту!
Au poste!, 2018","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Игры разума
A Beautiful Mind, 2001"
6,"Джокер (2019)
Joker","Психо (1960)
Psycho","Мстители: Финал (2019)
Avengers: Endgame","Телохранитель киллера (2017)
The Hitman's Bodyguard","Ла-Ла Ленд
La La Land, 2016"
7,"Останься (2005)
Stay","Большой куш
Snatch, 2000","Зеленая миля
The Green Mile, 1999","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Одержимость
Whiplash, 2013"
8,"Зеленая миля
The Green Mile, 1999","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Молчание ягнят
The Silence of the Lambs, 1990","Звездный десант (1997)
Starship Troopers","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
9,"Большой куш
Snatch, 2000","Чужой: Ромул (2024)
Alien: Romulus.1","Чужой
Alien, 1979","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Неогранённые алмазы (2019)
Uncut Gems"
