,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Джокер (2019)
Joker","Форрест Гамп
Forrest Gump, 1994","Ла-Ла Ленд
La La Land, 2016"
1,"Терминатор (1984)
The Terminator",Наша Russia: Яйца судьбы (2010),"Титаник (1997)
Titanic","Терминал (2004)
The Terminal","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice"
2,"Омерзительная восьмерка
The Hateful Eight, 2015","Игра на понижение (2015)
The Big Short","Шоу Трумана
The Truman Show, 1998","Битлджус Битлджус (2024)
Beetlejuice Beetlejuice","Форрест Гамп
Forrest Gump, 1994"
3,"Ла-Ла Ленд
La La Land, 2016","Дюна: Часть вторая (2024)
Dune: Part Two","Форрест Гамп
Forrest Gump, 1994","
Мемуары Улитки (2024)
Memoir of a Snail","Врожденный порок (2014)
Inherent Vice"
4,"Терминал (2004)
The Terminal","Чокнутый (2006)
Delirious","Ла-Ла Ленд
La La Land, 2016","Ла-Ла Ленд
La La Land, 2016","Терминал (2004)
The Terminal"
5,"Шоу Трумана
The Truman Show, 1998","Субстанция (2024)
The Substance","Мстители: Финал (2019)
Avengers: Endgame","Терминатор (1984)
The Terminator","
Мемуары Улитки (2024)
Memoir of a Snail"
6,"Титаник (1997)
Titanic","Семь психопатов (2012)
Seven Psychopaths",Наша Russia: Яйца судьбы (2010),"Игра на понижение (2015)
The Big Short","Игра на понижение (2015)
The Big Short"
7,"Зеленая миля
The Green Mile, 1999","Только бог простит (2012)
Only God Forgives","Терминатор (1984)
The Terminator","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
8,День радио (2008),"Сотни бобров (2024)
Hundreds of Beavers","Зеленая миля
The Green Mile, 1999","Семь психопатов (2012)
Seven Psychopaths","Семь психопатов (2012)
Seven Psychopaths"
9,"Серый человек (2022)
The Gray Man",Майор Гром: Игра (2024),"Чужой
Alien, 1979","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
