,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Омерзительная восьмерка
The Hateful Eight, 2015","Оленья кожа (2019)
Le daim","Титаник (1997)
Titanic","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Человек на Луне (2018)
First Man"
1,"Титаник (1997)
Titanic","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Большой Лебовски (1998)
The Big Lebowski","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
2,"Бойцовский клуб
Fight Club, 1999","Шоу Трумана
The Truman Show, 1998","Джокер (2019)
Joker","Анора (2024)
Anora","Анора (2024)
Anora"
3,"Шоу Трумана
The Truman Show, 1998","Сотни бобров (2024)
Hundreds of Beavers","Большой Лебовски (1998)
The Big Lebowski","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
4,"Мстители: Финал (2019)
Avengers: Endgame","Неогранённые алмазы (2019)
Uncut Gems","Шоу Трумана
The Truman Show, 1998","Звездный десант (1997)
Starship Troopers","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
5,О чём говорят мужчины (2010),"21 грамм (2003)
21 Grams","Мстители: Финал (2019)
Avengers: Endgame","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джанго освобожденный
Django Unchained, 2012"
6,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Страсти Христовы
The Passion of the Christ, 2004","Трасса 60
Interstate 60, 2001","Джанго освобожденный
Django Unchained, 2012","Звездный десант (1997)
Starship Troopers"
7,"Джанго освобожденный
Django Unchained, 2012","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Барби (2023)
Barbie","Залечь на дно в Брюгге (2007)
In Bruges","Залечь на дно в Брюгге (2007)
In Bruges"
8,"Чужой
Alien, 1979",О чём говорят мужчины (2010),"Чужой
Alien, 1979","21 грамм (2003)
21 Grams","Неогранённые алмазы (2019)
Uncut Gems"
9,Чужие (1986),"
Небриллиантовая рука (2024)","Омерзительная восьмерка
The Hateful Eight, 2015","Неогранённые алмазы (2019)
Uncut Gems","21 грамм (2003)
21 Grams"
