,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Ловушка (2024)
Trap"
1,"Начало
Inception, 2010","Дом большой мамочки (2000)
Big Momma's House","Джокер (2019)
Joker","Апокалипсис сегодня (1979)
Apocalypse Now","Страсти Христовы
The Passion of the Christ, 2004"
2,"Аватар
Avatar, 2009","Люди в чёрном
Men in Black, 1997","Люди в чёрном
Men in Black, 1997","Люди в чёрном
Men in Black, 1997","Люди в чёрном
Men in Black, 1997"
3,"Титаник (1997)
Titanic",Мастер и Маргарита (2023),"Аватар
Avatar, 2009","Смертельное оружие (1987)
Lethal Weapon","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare"
4,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"1+1
Intouchables, 2011","Вне закона (1986)
Down by Law","Смертельное оружие (1987)
Lethal Weapon"
5,"Один дома
Home Alone, 1990","Смертельное оружие (1987)
Lethal Weapon","Титаник (1997)
Titanic","Человек на Луне (2018)
First Man","Клуб «Завтрак» (1985)
The Breakfast Club"
6,"Остров проклятых
Shutter Island, 2009","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Клуб «Завтрак» (1985)
The Breakfast Club","Вне закона (1986)
Down by Law"
7,"Молчание ягнят
The Silence of the Lambs, 1990","Мертвец (1995)
Dead Man","Начало
Inception, 2010","Пленницы (2013)
Prisoners","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
8,О чём ещё говорят мужчины (2011),"Мементо (2000)
Memento","Молчание ягнят
The Silence of the Lambs, 1990","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Пленницы (2013)
Prisoners"
9,"Неогранённые алмазы (2019)
Uncut Gems",День радио (2008),"Остров проклятых
Shutter Island, 2009","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
