,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Типа крутые легавые (2007)
Hot Fuzz","Джокер (2019)
Joker","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","
Мемуары Улитки (2024)
Memoir of a Snail"
1,"Титаник (1997)
Titanic","Врожденный порок (2014)
Inherent Vice","Титаник (1997)
Titanic","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Конклав (2024)
Conclave"
2,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Семь
Se7en, 1995","Молчание ягнят
The Silence of the Lambs, 1990","Только бог простит (2012)
Only God Forgives","Дюна: Часть вторая (2024)
Dune: Part Two"
3,"Вне закона (1986)
Down by Law","Фанатик (2001)
The Believer","Мстители: Финал (2019)
Avengers: Endgame","
Мемуары Улитки (2024)
Memoir of a Snail","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
4,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Леон
Léon, 1994","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Чужой: Ромул (2024)
Alien: Romulus"
5,"Чужой
Alien, 1979","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Семь
Se7en, 1995","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
6,"Молчание ягнят
The Silence of the Lambs, 1990","Такие разные близнецы (2011)
Jack and Jill","Интерстеллар
Interstellar, 2014","Мертвец (1995)
Dead Man","Эта дурацкая любовь (2011)
Crazy, Stupid, Love."
7,"Леон
Léon, 1994","Папа, сдохни (2018)","Семь
Se7en, 1995","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015"
8,"Мстители: Финал (2019)
Avengers: Endgame","Человек на Луне (2018)
First Man","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Семь
Se7en, 1995"
9,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Мачо и ботан (2012)
21 Jump Street","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
