,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Грязь (2013)
Filth","Джокер (2019)
Joker","Общество мертвых поэтов (1989)
Dead Poets Society","Билли Мэдисон
Billy Madison, 1995"
1,"Назад в будущее
Back to the Future, 1985","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Назад в будущее
Back to the Future, 1985","Поймай меня, если сможешь
Catch Me If You Can, 2002","Грязь (2013)
Filth"
2,"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Поймай меня, если сможешь
Catch Me If You Can, 2002","Страсти Христовы
The Passion of the Christ, 2004","Дюна: Часть вторая (2024)
Dune: Part Two"
3,"Поймай меня, если сможешь
Catch Me If You Can, 2002","Гладиатор 2 (2024)
Gladiator II","Титаник (1997)
Titanic","Неогранённые алмазы (2019)
Uncut Gems","Страсти Христовы
The Passion of the Christ, 2004"
4,"Большой куш
Snatch, 2000","Достать ножи
Knives Out, 2019","Мстители: Финал (2019)
Avengers: Endgame","Дюна: Часть вторая (2024)
Dune: Part Two","Зодиак (2007)
Zodiac"
5,"Грязь (2013)
Filth","Страсти Христовы
The Passion of the Christ, 2004","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Большой куш
Snatch, 2000","Неогранённые алмазы (2019)
Uncut Gems"
6,"Пункт назначения. Аквапарк (2019)
Aquaslash","Звездный десант (1997)
Starship Troopers","Начало
Inception, 2010","Зодиак (2007)
Zodiac","21 грамм (2003)
21 Grams"
7,"Чужой
Alien, 1979",Майор Гром: Игра (2024),"Чужой
Alien, 1979","Звездный десант (1997)
Starship Troopers","Звездный десант (1997)
Starship Troopers"
8,"21 грамм (2003)
21 Grams","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Большой куш
Snatch, 2000","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001"
9,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Сотни бобров (2024)
Hundreds of Beavers","Достать ножи
Knives Out, 2019","21 грамм (2003)
21 Grams","Большой куш
Snatch, 2000"
