,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Люди в чёрном
Men in Black, 1997","Неогранённые алмазы (2019)
Uncut Gems","Люди в чёрном
Men in Black, 1997","Апокалипсис сегодня (1979)
Apocalypse Now","Драйв (2011)
Drive"
1,"Титаник (1997)
Titanic","Апокалипсис сегодня (1979)
Apocalypse Now","Джокер (2019)
Joker","21 грамм (2003)
21 Grams","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
2,"Мертвые не умирают (2019)
The Dead Don't Die","Мартовские иды (2011)
The Ides of March","Железный человек (2008)
Iron Man","Драйв (2011)
Drive","Люди в чёрном
Men in Black, 1997"
3,О чём говорят мужчины (2010),"Вне закона (1986)
Down by Law","Титаник (1997)
Titanic","Зона интересов (2023)
The Zone of Interest","Человек на Луне (2018)
First Man"
4,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Мстители: Финал (2019)
Avengers: Endgame","Дюна: Часть вторая (2024)
Dune: Part Two","Апокалипсис сегодня (1979)
Apocalypse Now"
5,"Фарго (1995)
Fargo",Майор Гром: Игра (2024),"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Бешеные псы (1991)
Reservoir Dogs","Фарго (1995)
Fargo"
6,"500 дней лета (2009)
(500) Days of Summer","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Люди в чёрном
Men in Black, 1997","Бешеные псы (1991)
Reservoir Dogs"
7,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux",Наша Russia: Яйца судьбы (2010),"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
8,"Молчание ягнят
The Silence of the Lambs, 1990","Мертвые не умирают (2019)
The Dead Don't Die","Молчание ягнят
The Silence of the Lambs, 1990","Человек на Луне (2018)
First Man","21 грамм (2003)
21 Grams"
9,"Железный человек (2008)
Iron Man","Железный человек (2008)
Iron Man","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Зона интересов (2023)
The Zone of Interest"
