,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Титаник (1997)
Titanic","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джокер (2019)
Joker","
Мемуары Улитки (2024)
Memoir of a Snail","Зона интересов (2023)
The Zone of Interest"
1,"Люди в чёрном
Men in Black, 1997","Мартовские иды (2011)
The Ides of March","Мстители: Финал (2019)
Avengers: Endgame","Зомби по имени Шон (2004)
Shaun of the Dead","Джон Уик 4 (2023)
John Wick: Chapter 4"
2,"Криминальное чтиво
Pulp Fiction, 1994","Джокер (2019)
Joker","Титаник (1997)
Titanic","Джокер (2019)
Joker","Чужой: Ромул (2024)
Alien: Romulus.1"
3,"Джокер (2019)
Joker","Чужой: Ромул (2024)
Alien: Romulus.1","Люди в чёрном
Men in Black, 1997","Анора (2024)
Anora","Анора (2024)
Anora"
4,"Зомби по имени Шон (2004)
Shaun of the Dead","Дюна: Часть вторая (2024)
Dune: Part Two","Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994","Зомби по имени Шон (2004)
Shaun of the Dead"
5,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Копы в глубоком запасе (2010)
The Other Guys","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Мартовские иды (2011)
The Ides of March","Криминальное чтиво
Pulp Fiction, 1994"
6,"Хранители (2009)
Watchmen","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Здесь курят (2005)
Thank You for Smoking","Билли Мэдисон
Billy Madison, 1995"
7,"Чужой
Alien, 1979","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Чужой
Alien, 1979","Билли Мэдисон
Billy Madison, 1995","Здесь курят (2005)
Thank You for Smoking"
8,Чужие (1986),"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Поймай меня, если сможешь
Catch Me If You Can, 2002","Хранители (2009)
Watchmen"
9,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish",Майор Гром: Игра (2024),Наша Russia: Яйца судьбы (2010),"Хранители (2009)
Watchmen","Поймай меня, если сможешь
Catch Me If You Can, 2002"
