,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Джокер (2019)
Joker","
Мемуары Улитки (2024)
Memoir of a Snail","Достучаться до небес
Knockin' on Heaven's Door, 1997"
1,"Титаник (1997)
Titanic","Ворон (2024)
The Crow","1+1
Intouchables, 2011","Здесь курят (2005)
Thank You for Smoking","Молчание ягнят
The Silence of the Lambs, 1990"
2,"Бесславные ублюдки
Inglourious Basterds, 2009","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Титаник (1997)
Titanic","Молчание ягнят
The Silence of the Lambs, 1990","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
3,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine",День радио (2008),"Бойцовский клуб
Fight Club, 1999","Неогранённые алмазы (2019)
Uncut Gems","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland"
4,"Хранители (2009)
Watchmen","Достучаться до небес
Knockin' on Heaven's Door, 1997","Мстители: Финал (2019)
Avengers: Endgame","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Игра на понижение (2015)
The Big Short"
5,"1+1
Intouchables, 2011","Бойцовский клуб
Fight Club, 1999","Леон
Léon, 1994","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Здесь курят (2005)
Thank You for Smoking"
6,"Леон
Léon, 1994","Здесь курят (2005)
Thank You for Smoking","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Нечто (1982)
The Thing","Неогранённые алмазы (2019)
Uncut Gems"
7,"Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","Молчание ягнят
The Silence of the Lambs, 1990",Чужие (1986),"Нечто (1982)
The Thing"
8,"Омерзительная восьмерка
The Hateful Eight, 2015","Останься (2005)
Stay","Чужой
Alien, 1979","Омерзительная восьмерка
The Hateful Eight, 2015","Как поймать монстра (2014)
Lost River"
9,"Бешеные псы (1991)
Reservoir Dogs","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Хранители (2009)
Watchmen","Как поймать монстра (2014)
Lost River","Омерзительная восьмерка
The Hateful Eight, 2015"
