,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Бешеные псы (1991)
Reservoir Dogs","Бойцовский клуб
Fight Club, 1999","Зодиак (2007)
Zodiac","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
1,"Железный человек (2008)
Iron Man","Кофе и сигареты (2003)
Coffee and Cigarettes","Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Джокер (2019)
Joker"
2,"Драйв (2011)
Drive","Только бог простит (2012)
Only God Forgives","Железный человек (2008)
Iron Man","Достучаться до небес
Knockin' on Heaven's Door, 1997","Как поймать монстра (2014)
Lost River"
3,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Один дома
Home Alone, 1990","Кофе и сигареты (2003)
Coffee and Cigarettes","Сотни бобров (2024)
Hundreds of Beavers"
4,"Джокер (2019)
Joker","Полу-Нельсон (2006)
Half Nelson","Титаник (1997)
Titanic","Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
5,"Один дома
Home Alone, 1990","Пункт назначения (2000)
Final Destination","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Джокер (2019)
Joker","Копы в глубоком запасе (2010)
The Other Guys"
6,"Пункт назначения (2000)
Final Destination","Зодиак (2007)
Zodiac","Драйв (2011)
Drive","Копы в глубоком запасе (2010)
The Other Guys","Кофе и сигареты (2003)
Coffee and Cigarettes"
7,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Мстители: Финал (2019)
Avengers: Endgame","Неогранённые алмазы (2019)
Uncut Gems","Зодиак (2007)
Zodiac"
8,Чужие (1986),"Телохранитель киллера (2017)
The Hitman's Bodyguard","Пункт назначения (2000)
Final Destination","Бешеные псы (1991)
Reservoir Dogs","Неогранённые алмазы (2019)
Uncut Gems"
9,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Ночь на Земле (1991)
Night on Earth","Молчание ягнят
The Silence of the Lambs, 1990","Смертельное оружие (1987)
Lethal Weapon","Смертельное оружие (1987)
Lethal Weapon"
