,KNN,Random,Popular,Election_series,Election_remove_bad
0,"1+1
Intouchables, 2011",День радио (2008),"Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Семь
Se7en, 1995"
1,"Титаник (1997)
Titanic","Джокер (2019)
Joker","Джокер (2019)
Joker",Майор Гром: Игра (2024),"Игры разума
A Beautiful Mind, 2001"
2,"Пятый элемент
The Fifth Element, 1997","Останься (2005)
Stay","1+1
Intouchables, 2011","Семь
Se7en, 1995","Сотни бобров (2024)
Hundreds of Beavers"
3,"Паразиты
Gisaengchung, 2019","Апокалипсис сегодня (1979)
Apocalypse Now","Паразиты
Gisaengchung, 2019","Мертвец (1995)
Dead Man","
Мемуары Улитки (2024)
Memoir of a Snail"
4,"Игры разума
A Beautiful Mind, 2001","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Титаник (1997)
Titanic","Пленницы (2013)
Prisoners","Эта дурацкая любовь (2011)
Crazy, Stupid, Love."
5,"Бойцовский клуб
Fight Club, 1999","Трасса 60
Interstate 60, 2001","Пятый элемент
The Fifth Element, 1997","Сотни бобров (2024)
Hundreds of Beavers","Звездный десант (1997)
Starship Troopers"
6,"Мстители: Финал (2019)
Avengers: Endgame",Чужие (1986),"Мстители: Финал (2019)
Avengers: Endgame","Джанго освобожденный
Django Unchained, 2012","Пленницы (2013)
Prisoners"
7,"Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Чужой
Alien, 1979","Звездный десант (1997)
Starship Troopers","Джанго освобожденный
Django Unchained, 2012"
8,"Звездный десант (1997)
Starship Troopers","Семь
Se7en, 1995","Семь
Se7en, 1995",Гидравлика (2010),Гидравлика (2010)
9,Чужие (1986),"Сотни бобров (2024)
Hundreds of Beavers","Звездный десант (1997)
Starship Troopers","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019"
