,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Интерстеллар
Interstellar, 2014","Ночь на Земле (1991)
Night on Earth","Джокер (2019)
Joker","Люди в чёрном
Men in Black, 1997","Типа крутые легавые (2007)
Hot Fuzz"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Страсти Христовы
The Passion of the Christ, 2004","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Типа крутые легавые (2007)
Hot Fuzz","Субстанция (2024)
The Substance"
2,"Титаник (1997)
Titanic","Дневник памяти (2004)
The Notebook","Интерстеллар
Interstellar, 2014","Мартовские иды (2011)
The Ides of March","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
3,"Джокер (2019)
Joker","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Головоломка (2015)
Inside Out","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Мартовские иды (2011)
The Ides of March"
4,"Люди в чёрном
Men in Black, 1997","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Титаник (1997)
Titanic","Ночь на Земле (1991)
Night on Earth","Дюна: Часть вторая (2024)
Dune: Part Two"
5,"Головоломка (2015)
Inside Out","Только бог простит (2012)
Only God Forgives","Люди в чёрном
Men in Black, 1997","Полночь с дьяволом (2023)
Late Night with the Devil","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
6,"Отступники
The Departed, 2006",О чём ещё говорят мужчины (2011),"Круэлла (2021)
Cruella","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Ночь на Земле (1991)
Night on Earth"
7,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Полночь с дьяволом (2023)
Late Night with the Devil","Мстители: Финал (2019)
Avengers: Endgame","Джокер (2019)
Joker","Чокнутый (2006)
Delirious"
8,День радио (2008),"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Отступники
The Departed, 2006","Полночь с дьяволом (2023)
Late Night with the Devil"
9,"Круэлла (2021)
Cruella","Интерстеллар
Interstellar, 2014","Чужой
Alien, 1979","Дюна: Часть вторая (2024)
Dune: Part Two","Отступники
The Departed, 2006"
