,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Дилер (1996)
Pusher","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Пчеловод (2024)
The Beekeeper"
1,"Джокер (2019)
Joker","Психо (1960)
Psycho","Джокер (2019)
Joker","Здесь курят (2005)
Thank You for Smoking","Оппенгеймер (2023)
Oppenheimer"
2,"Аватар
Avatar, 2009","Начало
Inception, 2010","Аватар
Avatar, 2009","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Титаник (1997)
Titanic"
3,"Бешеные псы (1991)
Reservoir Dogs","Джокер (2019)
Joker","1+1
Intouchables, 2011","Оппенгеймер (2023)
Oppenheimer","Джокер (2019)
Joker"
4,"Титаник (1997)
Titanic","Не говори никому (2021)
Gæsterne","Назад в будущее
Back to the Future, 1985","Чужой: Ромул (2024)
Alien: Romulus","Бойцовский клуб
Fight Club, 1999"
5,"1+1
Intouchables, 2011","Фанатик (2001)
The Believer","Мстители: Финал (2019)
Avengers: Endgame","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
6,"Бесславные ублюдки
Inglourious Basterds, 2009",Чужие (1986),"Бесславные ублюдки
Inglourious Basterds, 2009","
Мемуары Улитки (2024)
Memoir of a Snail","
Мемуары Улитки (2024)
Memoir of a Snail"
7,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
8,"Шоу Трумана
The Truman Show, 1998","1+1
Intouchables, 2011","Шоу Трумана
The Truman Show, 1998","На посту!
Au poste!, 2018","Здесь курят (2005)
Thank You for Smoking"
9,"Американская история X (1998)
American History X","Вне закона (1986)
Down by Law","Чужой
Alien, 1979","Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
