,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Аватар
Avatar, 2009","Славные парни (2016)
The Nice Guys","Отступники
The Departed, 2006"
1,"Люди в чёрном
Men in Black, 1997","Интерстеллар
Interstellar, 2014","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Форрест Гамп
Forrest Gump, 1994",Чужие (1986)
2,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Славные парни (2016)
The Nice Guys","Джокер (2019)
Joker","Семь психопатов (2012)
Seven Psychopaths","Перелом (2007)
Fracture"
3,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Апокалипсис сегодня (1979)
Apocalypse Now","Железный человек (2008)
Iron Man","Перелом (2007)
Fracture","Семь психопатов (2012)
Seven Psychopaths"
4,"Титаник (1997)
Titanic","Зеленая миля
The Green Mile, 1999","Люди в чёрном
Men in Black, 1997","Джанго освобожденный
Django Unchained, 2012","Игра на понижение (2015)
The Big Short"
5,"Головоломка (2015)
Inside Out","Паразиты
Gisaengchung, 2019","Головоломка (2015)
Inside Out","Игра на понижение (2015)
The Big Short","Джанго освобожденный
Django Unchained, 2012"
6,"Джанго освобожденный
Django Unchained, 2012",Мастер и Маргарита (2023),"Интерстеллар
Interstellar, 2014","Зеленая миля
The Green Mile, 1999","Форрест Гамп
Forrest Gump, 1994"
7,"Мстители: Финал (2019)
Avengers: Endgame","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Пятый элемент
The Fifth Element, 1997","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
8,"Пятый элемент
The Fifth Element, 1997","Только бог простит (2012)
Only God Forgives","Титаник (1997)
Titanic","Оленья кожа (2019)
Le daim","Как поймать монстра (2014)
Lost River"
9,Чужие (1986),"Грязь (2013)
Filth","Паразиты
Gisaengchung, 2019","Как поймать монстра (2014)
Lost River","Зеленая миля
The Green Mile, 1999"
