,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Хранители (2009)
Watchmen","Дом большой мамочки (2000)
Big Momma's House","Джокер (2019)
Joker","Большой куш
Snatch, 2000","Пленницы (2013)
Prisoners"
1,"Шоу Трумана
The Truman Show, 1998","Выживут только любовники (2013)
Only Lovers Left Alive","Шоу Трумана
The Truman Show, 1998","Выживут только любовники (2013)
Only Lovers Left Alive","Выживут только любовники (2013)
Only Lovers Left Alive"
2,"Титаник (1997)
Titanic","Джанго освобожденный
Django Unchained, 2012","Титаник (1997)
Titanic","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Звездный десант (1997)
Starship Troopers"
3,Чужие (1986),"Шоу Трумана
The Truman Show, 1998","Джанго освобожденный
Django Unchained, 2012","Большой Лебовски (1998)
The Big Lebowski","Тайное окно (2004)
Secret Window"
4,"Джанго освобожденный
Django Unchained, 2012","Билли Мэдисон
Billy Madison, 1995","Большой Лебовски (1998)
The Big Lebowski","Джокер (2019)
Joker","Не говори никому (2024)
Speak No Evil"
5,"Достать ножи
Knives Out, 2019","Субстанция (2024)
The Substance","Ла-Ла Ленд
La La Land, 2016","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
6,"Неогранённые алмазы (2019)
Uncut Gems","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Хранители (2009)
Watchmen","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Сотни бобров (2024)
Hundreds of Beavers"
7,"Звездный десант (1997)
Starship Troopers","Славные парни (2016)
The Nice Guys","Чужой
Alien, 1979","Сотни бобров (2024)
Hundreds of Beavers","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
8,"Большой Лебовски (1998)
The Big Lebowski","Конклав (2024)
Conclave","Мстители: Финал (2019)
Avengers: Endgame","Шоу Трумана
The Truman Show, 1998","Большой Лебовски (1998)
The Big Lebowski"
9,"Мстители: Финал (2019)
Avengers: Endgame","Большой куш
Snatch, 2000","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Не говори никому (2024)
Speak No Evil","Шоу Трумана
The Truman Show, 1998"
