,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker",Майор Гром: Игра (2024),"Джокер (2019)
Joker","Билли Мэдисон
Billy Madison, 1995","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
1,"Титаник (1997)
Titanic",Чужие (1986),"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",Чужие (1986)
2,"Вне закона (1986)
Down by Law","Мементо (2000)
Memento","Титаник (1997)
Titanic","Бесславные ублюдки
Inglourious Basterds, 2009","Бесславные ублюдки
Inglourious Basterds, 2009"
3,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Американская история X (1998)
American History X","Головоломка (2015)
Inside Out","Страсти Христовы
The Passion of the Christ, 2004","Билли Мэдисон
Billy Madison, 1995"
4,"Чужой
Alien, 1979","Выживут только любовники (2013)
Only Lovers Left Alive","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Вне закона (1986)
Down by Law","Звездный десант (1997)
Starship Troopers"
5,"Криминальное чтиво
Pulp Fiction, 1994","Славные парни (2016)
The Nice Guys","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Зона интересов (2023)
The Zone of Interest","Зона интересов (2023)
The Zone of Interest"
6,День радио (2008),"Пэрл (2022)
Pearl","Мстители: Финал (2019)
Avengers: Endgame","Звездный десант (1997)
Starship Troopers","Вне закона (1986)
Down by Law"
7,"Бесславные ублюдки
Inglourious Basterds, 2009","Вонка (2023)
Wonka","Бесславные ублюдки
Inglourious Basterds, 2009","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
8,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare",Наша Russia: Яйца судьбы (2010),"Одержимость
Whiplash, 2013","Одержимость
Whiplash, 2013"
9,"Молчание ягнят
The Silence of the Lambs, 1990","Мстители: Финал (2019)
Avengers: Endgame","Молчание ягнят
The Silence of the Lambs, 1990","Мартовские иды (2011)
The Ides of March","Мартовские иды (2011)
The Ides of March"
