,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Начало
Inception, 2010","Дом большой мамочки (2000)
Big Momma's House","Джокер (2019)
Joker","Мимино
1977","Оленья кожа (2019)
Le daim"
1,"Хранители (2009)
Watchmen","Оленья кожа (2019)
Le daim","Титаник (1997)
Titanic","Ла-Ла Ленд
La La Land, 2016","Мимино
1977"
2,"Титаник (1997)
Titanic","Джокер (2019)
Joker","1+1
Intouchables, 2011","
Мемуары Улитки (2024)
Memoir of a Snail","Ла-Ла Ленд
La La Land, 2016"
3,"Джокер (2019)
Joker","Нечто (1982)
The Thing","Мстители: Финал (2019)
Avengers: Endgame","Отступники
The Departed, 2006","Терминал (2004)
The Terminal"
4,"Головоломка (2015)
Inside Out","Платформа 2 (2024)
El hoyo 2","Головоломка (2015)
Inside Out","Оленья кожа (2019)
Le daim","
Мемуары Улитки (2024)
Memoir of a Snail"
5,Чужие (1986),"Хранители (2009)
Watchmen","Начало
Inception, 2010","Терминал (2004)
The Terminal","Нечто (1982)
The Thing"
6,"Чужой
Alien, 1979","Билли Мэдисон
Billy Madison, 1995","Ла-Ла Ленд
La La Land, 2016","Нечто (1982)
The Thing","Зодиак (2007)
Zodiac"
7,День радио (2008),"Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Хранители (2009)
Watchmen","Зодиак (2007)
Zodiac","Отступники
The Departed, 2006"
8,"Нечто (1982)
The Thing",Курьер (1986),"Шоу Трумана
The Truman Show, 1998","Полночь с дьяволом (2023)
Late Night with the Devil","Полночь с дьяволом (2023)
Late Night with the Devil"
9,"Терминал (2004)
The Terminal","Начало
Inception, 2010","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019","Паразиты
Gisaengchung, 2019"
