,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Врожденный порок (2014)
Inherent Vice","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Круто сваренные (1992)
Lat sau san taam","Врожденный порок (2014)
Inherent Vice"
1,"Джокер (2019)
Joker","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems",День радио (2008)
2,Чужие (1986),"Крик (1996)
Scream","Мстители: Финал (2019)
Avengers: Endgame","Ларс и настоящая девушка (2007)
Lars and the Real Girl","
Мемуары Улитки (2024)
Memoir of a Snail"
3,"Титаник (1997)
Titanic","
Мемуары Улитки (2024)
Memoir of a Snail","Титаник (1997)
Titanic","Вонка (2023)
Wonka","Неогранённые алмазы (2019)
Uncut Gems"
4,О чём говорят мужчины (2010),"Такие разные близнецы (2011)
Jack and Jill","Чужой
Alien, 1979","Джокер (2019)
Joker","Джокер (2019)
Joker"
5,"Фарго (1995)
Fargo","Большой куш
Snatch, 2000","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Не говори никому (2021)
Gæsterne",Чужие (1986)
6,"Такие разные близнецы (2011)
Jack and Jill","Чужой
Alien, 1979",О чём говорят мужчины (2010),"Большой куш
Snatch, 2000","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
7,"Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Чужой: Ромул (2024)
Alien: Romulus.1","Большой куш
Snatch, 2000",Чужие (1986),"Большой куш
Snatch, 2000"
8,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Мстители: Финал (2019)
Avengers: Endgame","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Фарго (1995)
Fargo","Фарго (1995)
Fargo"
9,"Чужой
Alien, 1979","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001","Игры разума
A Beautiful Mind, 2001"
