,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Мимино
1977","Джокер (2019)
Joker","Джанго освобожденный
Django Unchained, 2012","Телохранитель киллера (2017)
The Hitman's Bodyguard"
1,"Начало
Inception, 2010","Джон Уик 4 (2023)
John Wick: Chapter 4","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Семь
Se7en, 1995","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
2,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Пчеловод (2024)
The Beekeeper","Побег из Шоушенка
The Shawshank Redemption, 1994","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джанго освобожденный
Django Unchained, 2012"
3,"Джокер (2019)
Joker",День радио (2008),"Начало
Inception, 2010","Чужой: Ромул (2024)
Alien: Romulus","Семь
Se7en, 1995"
4,"Побег из Шоушенка
The Shawshank Redemption, 1994","Драйв (2011)
Drive","Головоломка (2015)
Inside Out","Побег из Шоушенка
The Shawshank Redemption, 1994","Побег из Шоушенка
The Shawshank Redemption, 1994"
5,"Головоломка (2015)
Inside Out","Джокер (2019)
Joker","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Здесь курят (2005)
Thank You for Smoking","Смертельное оружие (1987)
Lethal Weapon"
6,"Серый человек (2022)
The Gray Man","Неогранённые алмазы (2019)
Uncut Gems","Мстители: Финал (2019)
Avengers: Endgame","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
7,"Барби (2023)
Barbie","Семь
Se7en, 1995","Титаник (1997)
Titanic","Дюна: Часть вторая (2024)
Dune: Part Two","Дюна: Часть вторая (2024)
Dune: Part Two"
8,"Джанго освобожденный
Django Unchained, 2012","Побег из Шоушенка
The Shawshank Redemption, 1994","Большой Лебовски (1998)
The Big Lebowski","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Здесь курят (2005)
Thank You for Smoking"
9,"Терминатор (1984)
The Terminator","Полночь с дьяволом (2023)
Late Night with the Devil","Барби (2023)
Barbie","Смертельное оружие (1987)
Lethal Weapon","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
