,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Хранители (2009)
Watchmen","Платформа 2 (2024)
El hoyo 2","Джокер (2019)
Joker","Билли Мэдисон
Billy Madison, 1995","Билли Мэдисон
Billy Madison, 1995"
1,"Интерстеллар
Interstellar, 2014","Джон Уик 4 (2023)
John Wick: Chapter 4","Железный человек (2008)
Iron Man",День радио (2008),"Только бог простит (2012)
Only God Forgives"
2,"1+1
Intouchables, 2011",День радио (2003),"Интерстеллар
Interstellar, 2014","Только бог простит (2012)
Only God Forgives","Король говорит!
The King's Speech, 2010"
3,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Фарго (1995)
Fargo","Криминальное чтиво
Pulp Fiction, 1994","Криминальное чтиво
Pulp Fiction, 1994","Трасса 60
Interstate 60, 2001"
4,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Мстители: Финал (2019)
Avengers: Endgame","Семь
Se7en, 1995","21 грамм (2003)
21 Grams"
5,"Криминальное чтиво
Pulp Fiction, 1994","Не говори никому (2021)
Gæsterne","1+1
Intouchables, 2011","Большой Лебовски (1998)
The Big Lebowski","Пленницы (2013)
Prisoners"
6,"Фарго (1995)
Fargo",Чужие (1986),"Большой Лебовски (1998)
The Big Lebowski","Отступники
The Departed, 2006","Фарго (1995)
Fargo"
7,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Максин XXX (2024)
MaXXXine","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Фарго (1995)
Fargo","Зона интересов (2023)
The Zone of Interest"
8,"Большой Лебовски (1998)
The Big Lebowski","Интерстеллар
Interstellar, 2014","Семь
Se7en, 1995","Зона интересов (2023)
The Zone of Interest","Отступники
The Departed, 2006"
9,"Железный человек (2008)
Iron Man","Чужой: Ромул (2024)
Alien: Romulus","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","21 грамм (2003)
21 Grams","Большой Лебовски (1998)
The Big Lebowski"
