,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Аватар
Avatar, 2009",День радио (2008),"Джокер (2019)
Joker","Бесславные ублюдки
Inglourious Basterds, 2009","Пятый элемент
The Fifth Element, 1997"
1,"Бесславные ублюдки
Inglourious Basterds, 2009","Джон Уик 4 (2023)
John Wick: Chapter 4","Один дома
Home Alone, 1990","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Чужой: Ромул (2024)
Alien: Romulus"
2,"Один дома
Home Alone, 1990","Только бог простит (2012)
Only God Forgives","Аватар
Avatar, 2009","
Мемуары Улитки (2024)
Memoir of a Snail","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003"
3,"Титаник (1997)
Titanic","Билли Мэдисон
Billy Madison, 1995","Головоломка (2015)
Inside Out","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River"
4,"Джокер (2019)
Joker","Образцовый самец (2001)
Zoolander","Мстители: Финал (2019)
Avengers: Endgame","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004"
5,"Пятый элемент
The Fifth Element, 1997","Джокер (2019)
Joker","Титаник (1997)
Titanic","Форрест Гамп
Forrest Gump, 1994","
Мемуары Улитки (2024)
Memoir of a Snail"
6,"Головоломка (2015)
Inside Out","Король говорит!
The King's Speech, 2010","Форрест Гамп
Forrest Gump, 1994","Отступники
The Departed, 2006","Форрест Гамп
Forrest Gump, 1994"
7,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Звездный десант (1997)
Starship Troopers","Пятый элемент
The Fifth Element, 1997","Чужой: Ромул (2024)
Alien: Romulus","Апокалипсис сегодня (1979)
Apocalypse Now"
8,Чужие (1986),"Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002","Апокалипсис сегодня (1979)
Apocalypse Now","Отступники
The Departed, 2006"
9,"Звездный десант (1997)
Starship Troopers","Анора (2024)
Anora","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Король говорит!
The King's Speech, 2010","Король говорит!
The King's Speech, 2010"
