,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Дюна: Часть вторая (2024)
Dune: Part Two","Джокер (2019)
Joker","Телохранитель киллера (2017)
The Hitman's Bodyguard","Как поймать монстра (2014)
Lost River"
1,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Ночь на Земле (1991)
Night on Earth","Титаник (1997)
Titanic","Человек на Луне (2018)
First Man","Игра на понижение (2015)
The Big Short"
2,"1+1
Intouchables, 2011","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","1+1
Intouchables, 2011","Игра на понижение (2015)
The Big Short","Бедные-несчастные (2023)
Poor Things"
3,"Зомби по имени Шон (2004)
Shaun of the Dead","Пчеловод (2024)
The Beekeeper","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Телохранитель киллера (2017)
The Hitman's Bodyguard"
4,"Оппенгеймер (2023)
Oppenheimer","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Поймай меня, если сможешь
Catch Me If You Can, 2002","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Общество мертвых поэтов (1989)
Dead Poets Society"
5,"Пункт назначения (2000)
Final Destination","Такие разные близнецы (2011)
Jack and Jill","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Общество мертвых поэтов (1989)
Dead Poets Society","Гладиатор 2 (2024)
Gladiator II"
6,"Ла-Ла Ленд
La La Land, 2016",Майор Гром: Игра (2024),"Мстители: Финал (2019)
Avengers: Endgame","Зомби по имени Шон (2004)
Shaun of the Dead","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
7,"Вне закона (1986)
Down by Law","Клик: С пультом по жизни
Click, 2006","Чужой
Alien, 1979","Гладиатор 2 (2024)
Gladiator II","Ночь на Земле (1991)
Night on Earth"
8,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Звездный десант (1997)
Starship Troopers","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Поймай меня, если сможешь
Catch Me If You Can, 2002","Зомби по имени Шон (2004)
Shaun of the Dead"
9,"Титаник (1997)
Titanic","Как поймать монстра (2014)
Lost River","Пункт назначения (2000)
Final Destination","Ночь на Земле (1991)
Night on Earth","Поймай меня, если сможешь
Catch Me If You Can, 2002"
