,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Назад в будущее
Back to the Future, 1985","Семь
Se7en, 1995","Джокер (2019)
Joker","Неогранённые алмазы (2019)
Uncut Gems","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001"
1,"Титаник (1997)
Titanic","Пэрл (2022)
Pearl","Назад в будущее
Back to the Future, 1985","Звездный десант (1997)
Starship Troopers","Неогранённые алмазы (2019)
Uncut Gems"
2,"Джокер (2019)
Joker","Место под соснами (2012)
The Place Beyond the Pines","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Нечто (2011)
The Thing"
3,"Неогранённые алмазы (2019)
Uncut Gems","Однажды в Ирландии (2011)
The Guard","Титаник (1997)
Titanic","Нечто (2011)
The Thing","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
4,"Побег из Шоушенка
The Shawshank Redemption, 1994","Головоломка (2015)
Inside Out","Побег из Шоушенка
The Shawshank Redemption, 1994",День радио (2008),"Звездный десант (1997)
Starship Troopers"
5,"Семь
Se7en, 1995","Только бог простит (2012)
Only God Forgives","Головоломка (2015)
Inside Out","Психо (1960)
Psycho","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
6,"Леон
Léon, 1994",День радио (2008),"Мстители: Финал (2019)
Avengers: Endgame","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)",День радио (2008)
7,Чужие (1986),"Вонка (2023)
Wonka","Драйв (2011)
Drive","Назад в будущее
Back to the Future, 1985","Психо (1960)
Psycho"
8,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Криминальное чтиво
Pulp Fiction, 1994","Кофе и сигареты (2003)
Coffee and Cigarettes","Кофе и сигареты (2003)
Coffee and Cigarettes"
9,"Криминальное чтиво
Pulp Fiction, 1994","Субстанция (2024)
The Substance","Большой Лебовски (1998)
The Big Lebowski","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Назад в будущее
Back to the Future, 1985"
