,KNN,Random,Popular,Election_series,Election_remove_bad
0,"1+1
Intouchables, 2011","Игра на понижение (2015)
The Big Short","Джокер (2019)
Joker","Криминальное чтиво
Pulp Fiction, 1994","Бедные-несчастные (2023)
Poor Things"
1,"Титаник (1997)
Titanic","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Головоломка (2015)
Inside Out","Пятый элемент
The Fifth Element, 1997","Сотни бобров (2024)
Hundreds of Beavers"
2,"Бешеные псы (1991)
Reservoir Dogs",Майор Гром: Игра (2024),"1+1
Intouchables, 2011","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Телохранитель киллера (2017)
The Hitman's Bodyguard"
3,"Криминальное чтиво
Pulp Fiction, 1994","Вонка (2023)
Wonka","Драйв (2011)
Drive","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
4,"Джокер (2019)
Joker","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Титаник (1997)
Titanic","Джокер (2019)
Joker","Только бог простит (2012)
Only God Forgives"
5,"Пятый элемент
The Fifth Element, 1997","Большой куш
Snatch, 2000","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Большой куш
Snatch, 2000","Пятый элемент
The Fifth Element, 1997"
6,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Зодиак (2007)
Zodiac","Пятый элемент
The Fifth Element, 1997","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Криминальное чтиво
Pulp Fiction, 1994"
7,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Апокалипсис сегодня (1979)
Apocalypse Now","Криминальное чтиво
Pulp Fiction, 1994",Чужие (1986),Чужие (1986)
8,"Секреты Лос-Анджелеса (1997)
L.A. Confidential",Чужие (1986),"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Игра на понижение (2015)
The Big Short","Большой куш
Snatch, 2000"
9,"Дом большой мамочки (2000)
Big Momma's House","Врожденный порок (2014)
Inherent Vice","Барби (2023)
Barbie","
Мемуары Улитки (2024)
Memoir of a Snail","
Мемуары Улитки (2024)
Memoir of a Snail"
