,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Один дома
Home Alone, 1990","Достать ножи
Knives Out, 2019","Отступники
The Departed, 2006"
1,"Титаник (1997)
Titanic","Таксист (1976)
Taxi Driver
(с робертом де ниро)","1+1
Intouchables, 2011","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Одержимость
Whiplash, 2013"
2,"Один дома
Home Alone, 1990","Зеленая миля
The Green Mile, 1999","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
3,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001",Мастер и Маргарита (2023),"Шоу Трумана
The Truman Show, 1998","Форрест Гамп
Forrest Gump, 1994","Форрест Гамп
Forrest Gump, 1994"
4,"Омерзительная восьмерка
The Hateful Eight, 2015","Гладиатор 2 (2024)
Gladiator II","Джокер (2019)
Joker","Одержимость
Whiplash, 2013","Терминатор (1984)
The Terminator"
5,"Джокер (2019)
Joker","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Титаник (1997)
Titanic","Пленницы (2013)
Prisoners","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
6,"Начало
Inception, 2010","Омерзительная восьмерка
The Hateful Eight, 2015","Мстители: Финал (2019)
Avengers: Endgame","Терминатор (1984)
The Terminator","Армагеддец (2013)
The World's End"
7,"Таксист (1976)
Taxi Driver
(с робертом де ниро)","Терминатор (1984)
The Terminator","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Армагеддец (2013)
The World's End","Пленницы (2013)
Prisoners"
8,"1+1
Intouchables, 2011","Врожденный порок (2014)
Inherent Vice","Начало
Inception, 2010","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang"
9,"Отступники
The Departed, 2006","Анора (2024)
Anora","Омерзительная восьмерка
The Hateful Eight, 2015","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare"
