,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Назад в будущее
Back to the Future, 1985","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Один дома
Home Alone, 1990","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","На посту!
Au poste!, 2018"
1,"Люди в чёрном
Men in Black, 1997","Молчание ягнят
The Silence of the Lambs, 1990","Джокер (2019)
Joker","Анора (2024)
Anora","Телохранитель киллера (2017)
The Hitman's Bodyguard"
2,"Драйв (2011)
Drive","Аватар
Avatar, 2009","Титаник (1997)
Titanic","Общество мертвых поэтов (1989)
Dead Poets Society","
Мемуары Улитки (2024)
Memoir of a Snail"
3,"Джанго освобожденный
Django Unchained, 2012","Чужой: Ромул (2024)
Alien: Romulus","Люди в чёрном
Men in Black, 1997","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
4,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Железный человек (2008)
Iron Man","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Общество мертвых поэтов (1989)
Dead Poets Society"
5,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Американская история X (1998)
American History X","Аватар
Avatar, 2009","Эта дурацкая любовь (2011)
Crazy, Stupid, Love.","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
6,День радио (2008),"Копы в глубоком запасе (2010)
The Other Guys","Назад в будущее
Back to the Future, 1985","Пришельцы в Америке (2001)
Just Visiting","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World"
7,"Один дома
Home Alone, 1990","Один дома
Home Alone, 1990","Форрест Гамп
Forrest Gump, 1994","Неогранённые алмазы (2019)
Uncut Gems","Пришельцы в Америке (2001)
Just Visiting"
8,"Джокер (2019)
Joker","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Форрест Гамп
Forrest Gump, 1994","Неогранённые алмазы (2019)
Uncut Gems"
9,"Мстители: Финал (2019)
Avengers: Endgame","Сотни бобров (2024)
Hundreds of Beavers","Молчание ягнят
The Silence of the Lambs, 1990","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
