,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker",День выборов (2009),"Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Залечь на дно в Брюгге (2007)
In Bruges"
1,"Нечто (1982)
The Thing","Гладиатор 2 (2024)
Gladiator II","Шоу Трумана
The Truman Show, 1998","Круто сваренные (1992)
Lat sau san taam","Как поймать монстра (2014)
Lost River"
2,"Шоу Трумана
The Truman Show, 1998",День радио (2003),"Железный человек (2008)
Iron Man","Залечь на дно в Брюгге (2007)
In Bruges","Джокер (2019)
Joker"
3,"Начало
Inception, 2010","Отступники
The Departed, 2006","Мстители: Финал (2019)
Avengers: Endgame","Хранители (2009)
Watchmen","Хранители (2009)
Watchmen"
4,"Хранители (2009)
Watchmen","Нечто (1982)
The Thing","Леон
Léon, 1994","Нечто (1982)
The Thing","Ларс и настоящая девушка (2007)
Lars and the Real Girl"
5,"Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Титаник (1997)
Titanic","
Мемуары Улитки (2024)
Memoir of a Snail","Игра на понижение (2015)
The Big Short"
6,Чужие (1986),"Звездный десант (1997)
Starship Troopers","Начало
Inception, 2010","Как поймать монстра (2014)
Lost River","
Мемуары Улитки (2024)
Memoir of a Snail"
7,"Железный человек (2008)
Iron Man","Дом большой мамочки (2000)
Big Momma's House","Нечто (1982)
The Thing","Трасса 60
Interstate 60, 2001","Трасса 60
Interstate 60, 2001"
8,"Фарго (1995)
Fargo","Мементо (2000)
Memento","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
9,"Неогранённые алмазы (2019)
Uncut Gems","Зона интересов (2023)
The Zone of Interest","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
