,KNN,Random,Popular,Election_series,Election_remove_bad
0,"1+1
Intouchables, 2011","Бедные-несчастные (2023)
Poor Things","1+1
Intouchables, 2011","Король говорит!
The King's Speech, 2010","Только бог простит (2012)
Only God Forgives"
1,"Люди в чёрном
Men in Black, 1997",Майор Гром: Игра (2024),"Джокер (2019)
Joker","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Телохранитель киллера (2017)
The Hitman's Bodyguard"
2,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Зодиак (2007)
Zodiac","Титаник (1997)
Titanic","Зеленая миля
The Green Mile, 1999","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind"
3,"Леон
Léon, 1994","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Страсти Христовы
The Passion of the Christ, 2004","Оленья кожа (2019)
Le daim"
4,"Криминальное чтиво
Pulp Fiction, 1994","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Мстители: Финал (2019)
Avengers: Endgame","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
5,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Люди в чёрном
Men in Black, 1997","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now"
6,"Американская история X (1998)
American History X","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Оленья кожа (2019)
Le daim","Зеленая миля
The Green Mile, 1999"
7,"Бесславные ублюдки
Inglourious Basterds, 2009","Дилер (1996)
Pusher","Барби (2023)
Barbie","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Страсти Христовы
The Passion of the Christ, 2004"
8,"Титаник (1997)
Titanic","Пятый элемент
The Fifth Element, 1997","Назад в будущее
Back to the Future, 1985","Как поймать монстра (2014)
Lost River","Как поймать монстра (2014)
Lost River"
9,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Между нами музыка (2015)
Song to Song","Пятый элемент
The Fifth Element, 1997","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
